--------------------------------------------------------------------------------
.//Study_2508_Coffee//data//Holm_Kol_Bohne.csv
--------------------------------------------------------------------------------
Bin     | E_range (eV)      | El. | Line  | Energy (eV) | Int.  
Bin 27  | 260.0 - 300.0     | ---------------------------------
                            | C   | Ka3   | 266.2       | 0.0   
                            | C   | Ka2   | 277.0       | 0.334 
                            | C   | Ka1   | 277.0       | 0.666 
                            | Cl  | Lb4   | 260.0       | 0.414 
                            | Cl  | Lb3   | 260.0       | 0.586 
                            | K   | Ln    | 262.5       | 1.0   
                            | Rh  | Mz    | 261.4       | 1.0   
                            | Pd  | Mz    | 284.8       | 1.0   
Bin 38  | 370.0 - 410.0     | ---------------------------------
                            | N   | Ka3   | 372.6       | 0.0   
                            | N   | Ka2   | 392.4       | 0.334 
                            | N   | Ka1   | 392.4       | 0.666 
                            | Ti  | Ln    | 401.5       | 0.081 
                            | Ti  | Ll    | 395.1       | 0.099 
                            | In  | Mz    | 377.9       | 1.0   
                            | Sn  | Mz    | 409.6       | 1.0   
Bin 52  | 510.0 - 550.0     | ---------------------------------
                            | O   | Ka2   | 524.9       | 0.334 
                            | O   | Ka1   | 524.9       | 0.666 
                            | Ti  | Lb4   | 528.3       | 0.414 
                            | Ti  | Lb3   | 528.3       | 0.586 
                            | V   | Lb1   | 517.8       | 0.921 
                            | V   | La2   | 510.1       | 0.089 
                            | V   | La1   | 510.1       | 0.812 
                            | Pd  | Mg    | 530.3       | 1.0   
                            | Sb  | Mb    | 537.5       | 0.997 
                            | Sb  | Ma    | 528.2       | 1.0   
                            | Xe  | Mz    | 542.3       | 0.003 
Bin 63  | 620.0 - 660.0     | ---------------------------------
                            | F   | Ka3   | 651.7       | 0.0   
                            | Cr  | Lb4   | 653.8       | 0.414 
                            | Cr  | Lb3   | 653.8       | 0.586 
                            | Mn  | Lb1   | 647.9       | 0.924 
                            | Mn  | La2   | 636.7       | 0.089 
                            | Mn  | La1   | 636.7       | 0.812 
                            | Fe  | Ln    | 628.6       | 0.074 
                            | In  | Mg    | 648.4       | 1.0   
                            | I   | Mb    | 630.8       | 0.997 
                            | La  | Mz    | 647.2       | 0.003 
Bin 67  | 660.0 - 700.0     | ---------------------------------
                            | F   | Ka2   | 676.8       | 0.334 
                            | F   | Ka1   | 676.8       | 0.666 
                            | Co  | Ln    | 692.2       | 0.073 
                            | Co  | Ll    | 677.1       | 0.085 
                            | Sn  | Mg    | 690.7       | 1.0   
                            | Xe  | Mb    | 689.0       | 0.997 
                            | Xe  | Ma    | 676.4       | 1.0   
                            | Ce  | Mz    | 679.2       | 0.003 
Bin 70  | 690.0 - 730.0     | ---------------------------------
                            | Mn  | Lb4   | 721.9       | 0.414 
                            | Mn  | Lb3   | 721.9       | 0.586 
                            | Fe  | Lb1   | 717.9       | 0.926 
                            | Fe  | La2   | 704.8       | 0.089 
                            | Fe  | La1   | 704.8       | 0.812 
                            | Co  | Ln    | 692.2       | 0.073 
                            | Sn  | Mg    | 690.7       | 1.0   
                            | Cs  | Ma    | 726.6       | 1.0   
                            | Pr  | Mz    | 712.0       | 0.003 
Bin 78  | 770.0 - 810.0     | ---------------------------------
                            | Fe  | Lb4   | 791.9       | 0.414 
                            | Fe  | Lb3   | 791.9       | 0.586 
                            | Co  | Lb1   | 790.2       | 0.927 
                            | Co  | La2   | 775.1       | 0.091 
                            | Co  | La1   | 775.1       | 0.824 
                            | Te  | Mg    | 780.4       | 1.0   
                            | Ba  | Mb    | 795.7       | 0.997 
                            | Ba  | Ma    | 780.5       | 1.0   
                            | Pm  | Mz    | 810.0       | 0.003 
Bin 81  | 800.0 - 840.0     | ---------------------------------
                            | Ne  | Ka3   | 821.7       | 0.0   
                            | Cu  | Ln    | 829.8       | 0.066 
                            | Cu  | Ll    | 810.2       | 0.067 
                            | I   | Mg    | 826.1       | 1.0   
                            | La  | Ma    | 836.0       | 1.0   
                            | Pm  | Mz    | 810.0       | 0.003 
Bin 83  | 820.0 - 860.0     | ---------------------------------
                            | Ne  | Ka3   | 821.7       | 0.0   
                            | Ne  | Ka2   | 848.5       | 0.334 
                            | Ne  | Ka1   | 848.6       | 0.666 
                            | Ni  | La2   | 848.7       | 0.092 
                            | Ni  | La1   | 848.7       | 0.833 
                            | Cu  | Ln    | 829.8       | 0.066 
                            | I   | Mg    | 826.1       | 1.0   
                            | La  | Mb    | 853.0       | 0.997 
                            | La  | Ma    | 836.0       | 1.0   
                            | Sm  | Mz    | 845.3       | 0.003 
Bin 101 | 1000.0 - 1040.0   | ---------------------------------
                            | Na  | Ka3   | 1007.3      | 0.0   
                            | Cu  | Lb4   | 1019.4      | 0.414 
                            | Cu  | Lb3   | 1021.6      | 0.586 
                            | Zn  | Lb1   | 1034.7      | 0.936 
                            | Zn  | La2   | 1011.6      | 0.093 
                            | Zn  | La1   | 1011.7      | 0.845 
                            | Ge  | Ll    | 1036.9      | 0.054 
                            | La  | Mg    | 1025.5      | 1.0   
                            | Nd  | Mb    | 1001.8      | 0.997 
                            | Pm  | Ma    | 1023.0      | 1.0   
Bin 105 | 1040.0 - 1080.0   | ---------------------------------
                            | Na  | Ka2   | 1040.4      | 0.334 
                            | Na  | Ka1   | 1040.3      | 0.666 
                            | Ge  | Ln    | 1068.0      | 0.06  
                            | Ce  | Mg    | 1078.0      | 1.0   
                            | Pm  | Mb    | 1048.0      | 0.997 
                            | Sm  | Ma    | 1078.2      | 1.0   
                            | Ho  | Mz    | 1048.5      | 0.003 
