--------------------------------------------------------------------------------
.//Study_2508_Coffee//data//Viet_Rob_Bohne.csv
--------------------------------------------------------------------------------
Bin     | E_range (eV)      | El. | Line  | Energy (eV) | Int.  
Bin 26  | 250.0 - 290.0     | ---------------------------------
                            | C   | Ka3   | 266.2       | 0.0   
                            | C   | Ka2   | 277.0       | 0.334 
                            | C   | Ka1   | 277.0       | 0.666 
                            | Cl  | Lb4   | 260.0       | 0.414 
                            | Cl  | Lb3   | 260.0       | 0.586 
                            | K   | Ln    | 262.5       | 1.0   
                            | K   | Ll    | 259.8       | 1.0   
                            | Rh  | Mz    | 261.4       | 1.0   
                            | Pd  | Mz    | 284.8       | 1.0   
Bin 51  | 500.0 - 540.0     | ---------------------------------
                            | O   | Ka3   | 501.5       | 0.0   
                            | O   | Ka2   | 524.9       | 0.334 
                            | O   | Ka1   | 524.9       | 0.666 
                            | Ti  | Lb4   | 528.3       | 0.414 
                            | Ti  | Lb3   | 528.3       | 0.586 
                            | V   | Lb1   | 517.8       | 0.921 
                            | V   | La2   | 510.1       | 0.089 
                            | V   | La1   | 510.1       | 0.812 
                            | Cr  | Ln    | 509.7       | 0.078 
                            | Cr  | Ll    | 500.0       | 0.099 
                            | Pd  | Mg    | 530.3       | 1.0   
                            | Sb  | Mb    | 537.5       | 0.997 
                            | Sb  | Ma    | 528.2       | 1.0   
                            | I   | Mz    | 507.8       | 0.003 
Bin 68  | 670.0 - 710.0     | ---------------------------------
                            | F   | Ka2   | 676.8       | 0.334 
                            | F   | Ka1   | 676.8       | 0.666 
                            | Fe  | La2   | 704.8       | 0.089 
                            | Fe  | La1   | 704.8       | 0.812 
                            | Co  | Ln    | 692.2       | 0.073 
                            | Co  | Ll    | 677.1       | 0.085 
                            | Sn  | Mg    | 690.7       | 1.0   
                            | Xe  | Mb    | 689.0       | 0.997 
                            | Xe  | Ma    | 676.4       | 1.0   
                            | Ce  | Mz    | 679.2       | 0.003 
Bin 76  | 750.0 - 790.0     | ---------------------------------
                            | Co  | La2   | 775.1       | 0.091 
                            | Co  | La1   | 775.1       | 0.824 
                            | Ni  | Ln    | 759.2       | 0.069 
                            | Te  | Mg    | 780.4       | 1.0   
                            | Ba  | Ma    | 780.5       | 1.0   
                            | Nd  | Mz    | 760.0       | 0.003 
Bin 123 | 1220.0 - 1260.0   | ---------------------------------
                            | Mg  | Ka2   | 1253.4      | 0.297 
                            | Mg  | Ka1   | 1253.79     | 0.592 
                            | Se  | Ln    | 1244.7      | 0.056 
                            | Pm  | Mg    | 1237.0      | 1.0   
                            | Tb  | Ma    | 1233.4      | 1.0   
                            | Lu  | Mz    | 1226.6      | 0.003 
Bin 148 | 1470.0 - 1510.0   | ---------------------------------
                            | Al  | Ka2   | 1486.1      | 0.297 
                            | Al  | Ka1   | 1486.5      | 0.591 
                            | Se  | Lb4   | 1485.5      | 0.347 
                            | Se  | Lb3   | 1491.3      | 0.492 
                            | Br  | La2   | 1480.0      | 0.094 
                            | Br  | La1   | 1481.0      | 0.857 
                            | Rb  | Ll    | 1477.3      | 0.044 
                            | Os  | Mz    | 1481.9      | 0.003 
Bin 331 | 3300.0 - 3340.0   | ---------------------------------
                            | K   | Ka2   | 3311.1      | 0.295 
                            | K   | Ka1   | 3313.8      | 0.587 
                            | Pd  | Lg1   | 3328.0      | 0.081 
                            | Cd  | Lb1   | 3315.1      | 0.876 
                            | Te  | Ll    | 3335.0      | 0.03  
                            | U   | Mb    | 3339.8      | 0.997 
                            | Pu  | Ma    | 3339.0      | 1.0   
