--------------------------------------------------------------------------------
.//Study_2508_Coffee/data//RCVT_klBohne_A.csv
--------------------------------------------------------------------------------
Bin     | E_range (eV)      | El. | Line  | Energy (eV) | Int.  
Bin 26  | 250.0 - 290.0     | ---------------------------------
                            | C   | Ka3   | 266.2       | 0.0   
                            | C   | Ka2   | 277.0       | 0.334 
                            | C   | Ka1   | 277.0       | 0.666 
                            | Cl  | Lb4   | 260.0       | 0.414 
                            | Cl  | Lb3   | 260.0       | 0.586 
                            | K   | Ln    | 262.5       | 1.0   
                            | K   | Ll    | 259.8       | 1.0   
                            | Rh  | Mz    | 261.4       | 1.0   
                            | Pd  | Mz    | 284.8       | 1.0   
Bin 38  | 370.0 - 410.0     | ---------------------------------
                            | N   | Ka3   | 372.6       | 0.0   
                            | N   | Ka2   | 392.4       | 0.334 
                            | N   | Ka1   | 392.4       | 0.666 
                            | Ti  | Ln    | 401.5       | 0.081 
                            | Ti  | Ll    | 395.1       | 0.099 
                            | In  | Mz    | 377.9       | 1.0   
                            | Sn  | Mz    | 409.6       | 1.0   
Bin 51  | 500.0 - 540.0     | ---------------------------------
                            | O   | Ka3   | 501.5       | 0.0   
                            | O   | Ka2   | 524.9       | 0.334 
                            | O   | Ka1   | 524.9       | 0.666 
                            | Ti  | Lb4   | 528.3       | 0.414 
                            | Ti  | Lb3   | 528.3       | 0.586 
                            | V   | Lb1   | 517.8       | 0.921 
                            | V   | La2   | 510.1       | 0.089 
                            | V   | La1   | 510.1       | 0.812 
                            | Cr  | Ln    | 509.7       | 0.078 
                            | Cr  | Ll    | 500.0       | 0.099 
                            | Pd  | Mg    | 530.3       | 1.0   
                            | Sb  | Mb    | 537.5       | 0.997 
                            | Sb  | Ma    | 528.2       | 1.0   
                            | I   | Mz    | 507.8       | 0.003 
Bin 126 | 1250.0 - 1290.0   | ---------------------------------
                            | Mg  | Ka2   | 1253.4      | 0.297 
                            | Mg  | Ka1   | 1253.79     | 0.592 
                            | Ge  | Lb4   | 1289.7      | 0.349 
                            | As  | La2   | 1281.9      | 0.094 
                            | As  | La1   | 1281.9      | 0.854 
                            | Tb  | Mb    | 1269.2      | 0.997 
                            | Dy  | Ma    | 1284.0      | 1.0   
                            | Hf  | Mz    | 1277.8      | 0.003 
Bin 149 | 1480.0 - 1520.0   | ---------------------------------
                            | Al  | Ka2   | 1486.1      | 0.297 
                            | Al  | Ka1   | 1486.5      | 0.591 
                            | Se  | Lb4   | 1485.5      | 0.347 
                            | Se  | Lb3   | 1491.3      | 0.492 
                            | Br  | La2   | 1480.0      | 0.094 
                            | Br  | La1   | 1481.0      | 0.857 
                            | Tm  | Mb    | 1510.4      | 0.997 
                            | Os  | Mz    | 1481.9      | 0.003 
Bin 200 | 1990.0 - 2030.0   | ---------------------------------
                            | P   | Ka2   | 2009.5      | 0.296 
                            | P   | Ka1   | 2010.5      | 0.59  
                            | Y   | Lb1   | 1998.3      | 0.954 
                            | Nb  | Ln    | 1998.4      | 0.043 
                            | Mo  | Ll    | 2013.7      | 0.038 
                            | At  | Mz    | 2023.0      | 0.003 
Bin 232 | 2310.0 - 2350.0   | ---------------------------------
                            | Y   | Lg2   | 2348.6      | 0.075 
                            | Y   | Lg3   | 2349.9      | 0.092 
                            | Nb  | Lb4   | 2321.9      | 0.343 
                            | Nb  | Lb3   | 2337.4      | 0.486 
                            | Nb  | Lb6   | 2314.6      | 0.002 
                            | Pt  | Mg    | 2330.4      | 1.0   
                            | Pb  | Ma    | 2342.3      | 1.0   
                            | Th  | Mz    | 2323.0      | 0.003 
Bin 331 | 3300.0 - 3340.0   | ---------------------------------
                            | K   | Ka2   | 3311.1      | 0.295 
                            | K   | Ka1   | 3313.8      | 0.587 
                            | Pd  | Lg1   | 3328.0      | 0.081 
                            | Cd  | Lb1   | 3315.1      | 0.876 
                            | Te  | Ll    | 3335.0      | 0.03  
                            | U   | Mb    | 3339.8      | 0.997 
                            | Pu  | Ma    | 3339.0      | 1.0   
