element,line_name,line_start_finish,total_mca,energy_gain,measurement_type,gauss_a,gauss_b,gauss_c,gauss_delta_a,gauss_delta_b,gauss_delta_c,lines_inside
Cu,Ka1,KL_3,4096,5461,PIXE Amersham Source Set B,129.278,1698.362,13.062,3.509,0.369,0.233,Ka2
Cu,Kb1,KM_3,4096,5461,PIXE Amersham Source Set B,21.095,1880.149,13.326,2.328,1.277,0.975,x
Rb,Ka1,KL_3,4096,5461,PIXE Amersham Source Set B,312.160,2823.541,17.656,6.715,0.418,0.254,Ka2
Rb,Kb1,KM_3,4096,5461,PIXE Amersham Source Set B,53.558,3157.904,17.520,5.067,2.803,1.889,Kb3
Rb,Kb2,KN_{2;3},4096,5461,PIXE Amersham Source Set B,4.088,3204.555,17.289,2.852,25.490,13.957,x
Mo,Ka1,KL_3,4096,5461,PIXE Amersham Source Set B,550.830,2760.658,16.614,13.854,0.517,0.294,Ka2
Mo,Kb1,KM_3,4096,5461,PIXE Amersham Source Set B,97.584,3102.089,15.271,10.566,1.759,1.286,Kb3
Mo,Kb2,KN_{2;3},4096,5461,PIXE Amersham Source Set B,15.752,3159.706,14.065,4.104,4.528,3.574,x
Mo,La1,L_3M_5,8192,4096,PIXE Amersham Source Set B,4.127,1012.464,11.189,3.030,7.410,6.614,La2
Cu,Ka1,KL_3,8192,10922,PIXE Amersham Source Set B,10.237,3397.287,23.430,0.219,0.429,0.349,Ka2
Cu,Kb1,KM_3,8192,10922,PIXE Amersham Source Set B,10.158,3764.867,31.106,0.113,3.601,3.629,x
Rb,Ka1,KL_3,8192,10922,PIXE Amersham Source Set B,23.009,5648.343,33.532,0.335,0.407,0.313,Ka2
Rb,Kb1,KM_3,8192,10922,PIXE Amersham Source Set B,1.851,6297.683,4.632,0.631,1.815,1.718,x
Rb,Kb2,KN_{2;3},8192,10922,PIXE Amersham Source Set B,3.677,6336.138,4.355,0.848,0.998,0.990,x
Mo,Ka1,KL_3,8192,10922,PIXE Amersham Source Set B,27.659,7363.273,40.826,0.294,0.363,0.273,Ka2
Tb,Ka2,KL_2,8192,2730,PIXE Amersham Source Set B,5.922,4689.291,15.600,0.563,1.257,1.099,x
Tb,Ka1,KL_3,8192,2730,PIXE Amersham Source Set B,2.855,4612.223,17.694,0.371,2.104,1.995,x
Tb,Kb1,KM_3,8192,2730,PIXE Amersham Source Set B,1.101,5305.890,21.779,0.219,4.590,4.550,Kb3
Tb,La1,L_3M_5,8192,2730,PIXE Amersham Source Set B,11.980,662.584,6.056,2.343,1.090,0.857,La2
Tb,Lb1,L_2M_4,8192,2730,PIXE Amersham Source Set B,10.198,738.160,7.015,1.310,0.856,0.683,Lb4
Tb,Lb3,L_1M_3,8192,2730,PIXE Amersham Source Set B,1.857,778.032,12.253,0.427,2.969,3.077,Lb6
Ba,Ka1,KL_3,8192,2730,PIXE Amersham Source Set B,1.111,3347.507,9.061,0.222,2.151,0.172,x
Ba,Kb1,KM_3,8192,2730,PIXE Amersham Source Set B,1.450,3394.324,16.159,0.172,2.161,2.263,x
Ag,Ka1,KL_3,8192,2730,PIXE Amersham Source Set B,89.173,2331.421,13.401,2.352,0.351,0.229,Ka2
Ag,Kb1,KM_3,8192,2730,PIXE Amersham Source Set B,16.724,2630.642,11.079,2.130,1.252,0.959,Kb3
Ag,Kb2,KN_{2;3},8192,2730,PIXE Amersham Source Set B,3.625,2686.159,8.371,1.151,2.449,2.141,Kb4
Mo,Ka1,KL_3,8192,2730,PIXE Amersham Source Set B,113.454,1840.662,10.868,3.361,0.332,0.211,Ka2
Mo,Kb1,KM_3,8192,2730,PIXE Amersham Source Set B,21.660,2068.668,9.396,2.595,1.228,0.956,Kb3
Mo,Kb2,KN_{2;3},8192,2730,PIXE Amersham Source Set B,1.735,2105.122,11.749,0.701,7.595,7.115,Kb5?
Mo,Ka1,KL_3,8192,5461,PIXE Amersham Source Set D,22908.719,3681.676,24.226,697.812,1.964,0.838,Ka2
Mo,Kb1,KM_3,8192,5461,PIXE Amersham Source Set D,4082.152,4135.527,22.268,542.633,5.656,3.174,Kb3
