QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 1,0238480568	 1,5155708790	
 0,0200032552	 1,0294020176	 1,5155637264	
 0,0400065105	 1,0298120975	 1,5155529976	
 0,0600097657	 1,0210394859	 1,5155625343	
 0,0800130209	 1,0305738449	 1,5155684948	
 0,1000162761	 1,0387873650	 1,5155625343	
 0,1200195314	 1,0276269913	 1,5155661106	
 0,1400227866	 1,0286593437	 1,5155804157	
 0,1600260418	 1,0361433029	 1,5155744553	
 0,1800292971	 1,0309255123	 1,5155684948	
 0,2000325523	 1,0240459442	 1,5155684948	
 0,2200358075	 1,0236060619	 1,5155661106	
 0,2400390628	 1,0273778439	 1,5155684948	
 0,2600423180	 1,0358881950	 1,5155577660	
 0,2800455732	 1,0312867165	 1,5155613422	
 0,3000488284	 1,0269367695	 1,5155720711	
 0,3200520837	 1,0379457474	 1,5155684948	
 0,3400553389	 1,0403394699	 1,5155696869	
 0,3600585941	 1,0372292995	 1,5155649185	
 0,3800618494	 1,0308504105	 1,5155696869	
 0,4000651046	 1,0338437557	 1,5155720711	
 0,4200683598	 1,0339093208	 1,5155601501	
 0,4400716150	 1,0252439976	 1,5155684948	
 0,4600748703	 1,0296666622	 1,5155887604	
 0,4800781255	 1,0322296619	 1,5155971050	
 0,5000813807	 1,0324132442	 1,5155911446	
 0,5200846360	 1,0262322426	 1,5155816078	
 0,5400878912	 1,0185492039	 1,5155768394	
 0,5600911464	 1,0272622108	 1,5155744553	
 0,5800944017	 1,0390007496	 1,5155661106	
 0,6000976569	 1,0352540016	 1,5155625343	
 0,6201009121	 1,0309922695	 1,5155720711	
 0,6401041673	 1,0344457626	 1,5155744553	
 0,6601074226	 1,0349631310	 1,5155732632	
 0,6801106778	 1,0321748257	 1,5155851841	
 0,7001139330	 1,0330295563	 1,5155851841	
 0,7201171883	 1,0269474983	 1,5155780315	
 0,7401204435	 1,0266518593	 1,5155744553	
 0,7601236987	 1,0298156738	 1,5155720711	
 0,7801269539	 1,0235881805	 1,5155792236	
 0,8001302092	 1,0263013840	 1,5155696869	
 0,8201334644	 1,0253775120	 1,5155732632	
 0,8401367196	 1,0232365131	 1,5155839920	
 0,8601399749	 1,0275995731	 1,5155744553	
 0,8801432301	 1,0295689106	 1,5155649185	
 0,9001464853	 1,0337448120	 1,5155673027	
 0,9201497406	 1,0309386253	 1,5155696869	
 0,9401529958	 1,0219395161	 1,5155696869	
 0,9601562510	 1,0235404968	 1,5155768394	
 0,9801595062	 1,0229086876	 1,5155756474	
 1,0001627615	 1,0202705860	 1,5155708790	
 1,0201660167	 1,0253512859	 1,5155744553	
 1,0401692719	 1,0279476643	 1,5155780315	
 1,0601725272	 1,0221815109	 1,5155696869	
 1,0801757824	 1,0214197636	 1,5155577660	
 1,1001790376	 1,0176122189	 1,5155637264	
 1,1201822928	 1,0170459747	 1,5155696869	
 1,1401855481	 1,0171222687	 1,5155720711	
 1,1601888033	 1,0138154030	 1,5155780315	
 1,1801920585	 1,0150456429	 1,5155756474	
 1,2001953138	 1,0150015354	 1,5155732632	
 1,2201985690	 1,0153996944	 1,5155816078	
 1,2402018242	 1,0190081596	 1,5155899525	
 1,2602050795	 1,0182440281	 1,5155887604	
 1,2802083347	 1,0128760338	 1,5155875683	
 1,3002115899	 1,0131812096	 1,5155863762	
 1,3202148451	 1,0171425343	 1,5155804157	
 1,3402181004	 1,0152149200	 1,5155720711	
 1,3602213556	 1,0166013241	 1,5155851841	
 1,3802246108	 1,0152459145	 1,5155827999	
 1,4002278661	 1,0100376606	 1,5155756474	
 1,4202311213	 1,0119438171	 1,5155827999	
 1,4402343765	 1,0119116306	 1,5155732632	
 1,4602376317	 1,0126996040	 1,5155732632	
 1,4802408870	 1,0180139542	 1,5155804157	
 1,5002441422	 1,0175788403	 1,5155935287	
 1,5202473974	 1,0100054741	 1,5155982971	
 1,5402506527	 1,0091495514	 1,5155792236	
 1,5602539079	 1,0125279427	 1,5155768394	
 1,5802571631	 1,0174703598	 1,5155804157	
 1,6002604184	 1,0158240795	 1,5155744553	
 1,6202636736	 1,0097110271	 1,5155792236	
 1,6402669288	 1,0139608383	 1,5155720711	
 1,6602701840	 1,0151660442	 1,5155732632	
 1,6802734393	 1,0119700432	 1,5155768394	
 1,7002766945	 1,0122573376	 1,5155708790	
 1,7202799497	 1,0110843182	 1,5155792236	
 1,7402832050	 1,0136735439	 1,5155827999	
 1,7602864602	 1,0109984875	 1,5155816078	
 1,7802897154	 1,0104572773	 1,5155780315	
 1,8002929707	 1,0132849216	 1,5155756474	
 1,8202962259	 1,0089182854	 1,5155756474	
 1,8402994811	 1,0125958920	 1,5155732632	
 1,8603027363	 1,0183572769	 1,5155768394	
 1,8803059916	 1,0160040855	 1,5155804157	
 1,9003092468	 1,0077226162	 1,5155744553	
 1,9203125020	 1,0024070740	 1,5155637264	
 1,9403157573	 1,0084366798	 1,5155732632	
 1,9603190125	 1,0113370419	 1,5155816078	
 1,9803222677	 1,0128772259	 1,5155756474	
 2,0003255229	 1,0129261017	 1,5155684948	
 2,0203287782	 1,0105788708	 1,5155768394	
 2,0403320334	 1,0097122192	 1,5155851841	
 2,0603352886	 1,0090553761	 1,5155827999	
 2,0803385439	 1,0045337677	 1,5155744553	
 2,1003417991	 1,0068535805	 1,5155589581	
 2,1203450543	 1,0099923611	 1,5155673027	
 2,1403483096	 1,0090994835	 1,5155792236	
 2,1603515648	 1,0073781013	 1,5155851841	
 2,1803548200	 1,0103392601	 1,5155994892	
 2,2003580752	 1,0122847557	 1,5155947208	
 2,2203613305	 1,0090589523	 1,5155768394	
 2,2403645857	 1,0087299347	 1,5155661106	
 2,2603678409	 1,0045659542	 1,5155732632	
 2,2803710962	 1,0073947906	 1,5155804157	
 2,3003743514	 1,0132694244	 1,5155875683	
 2,3203776066	 1,0085618496	 1,5155887604	
 2,3403808618	 1,0062444210	 1,5155839920	
 2,3603841171	 1,0126841068	 1,5155899525	
 2,3803873723	 1,0129463673	 1,5155923367	
 2,4003906275	 1,0128557682	 1,5155851841	
 2,4203938828	 1,0074687004	 1,5155804157	
 2,4403971380	 1,0012054443	 1,5155673027	
 2,4604003932	 0,9999799728	 1,5155589581	
 2,4804036485	 1,0058295727	 1,5155684948	
 2,5004069037	 1,0073232651	 1,5155744553	
 2,5204101589	 1,0042643547	 1,5155875683	
 2,5404134141	 1,0069465637	 1,5155875683	
 2,5604166694	 1,0083818436	 1,5155959129	
 2,5804199246	 1,0065221786	 1,5156006813	
 2,6004231798	 1,0015463829	 1,5155959129	
 2,6204264351	 0,9953165054	 1,5155887604	
 2,6404296903	 0,9926652908	 1,5155744553	
 2,6604329455	 0,9957754612	 1,5155875683	
 2,6804362007	 1,0031712055	 1,5155851841	
 2,7004394560	 1,0087883472	 1,5155887604	
 2,7204427112	 1,0111033916	 1,5155947208	
 2,7404459664	 1,0120797157	 1,5155875683	
 2,7604492217	 1,0054123402	 1,5155851841	
 2,7804524769	 1,0064113140	 1,5160608292	
 2,8004557321	 1,0021901131	 1,5161240101	
 2,8204589874	 0,9928405285	 1,5161287785	
 2,8404622426	 0,9892189503	 1,5183520317	
 2,8604654978	 0,9843707085	 1,5217971802	
 2,8804687530	 0,9731328487	 1,5256369114	
 2,9004720083	 0,9611022472	 1,5298306942	
 2,9204752635	 0,9480392933	 1,5341997147	
 2,9404785187	 0,9270095825	 1,5385591984	
 2,9604817740	 0,8999907970	 1,5425813198	
 2,9804850292	 0,8696746826	 1,5466201305	
 3,0004882844	 0,8375966549	 1,5503156185	
 3,0204915396	 0,8087766171	 1,5537941456	
 3,0404947949	 0,7813441753	 1,5574193001	
 3,0604980501	 0,7499790192	 1,5609049797	
 3,0805013053	 0,7217133045	 1,5642619133	
 3,1005045606	 0,6890797615	 1,5675497055	
 3,1205078158	 0,6582355499	 1,5706610680	
 3,1405110710	 0,6281852722	 1,5734601021	
 3,1605143263	 0,5982494354	 1,5762507915	
 3,1805175815	 0,5717229843	 1,5791368484	
 3,2005208367	 0,5476987362	 1,5819585323	
 3,2205240919	 0,5192375183	 1,5847754478	
 3,2405273472	 0,4925060272	 1,5877008438	
 3,2605306024	 0,4714465141	 1,5903437138	
 3,2805338576	 0,4495477676	 1,5928065777	
 3,3005371129	 0,4334843159	 1,5952908993	
 3,3205403681	 0,4136741161	 1,5974259377	
 3,3405436233	 0,3946495056	 1,5998983383	
 3,3605468785	 0,3849196434	 1,6025924683	
 3,3805501338	 0,3800106049	 1,6048324108	
 3,4005533890	 0,3826427460	 1,6069149971	
 3,4205566442	 0,3883409500	 1,6091334820	
 3,4405598995	 0,3956997395	 1,6113162041	
 3,4605631547	 0,4094159603	 1,6134727001	
 3,4805664099	 0,4255807400	 1,6154873371	
 3,5005696652	 0,4442167282	 1,6175067425	
