QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 0,8992326260	 1,4931702614	
 0,0200032552	 0,8948004246	 1,4931714535	
 0,0400065105	 0,9031641483	 1,4931702614	
 0,0600097657	 0,9068977833	 1,4931631088	
 0,0800130209	 0,9002208710	 1,4931786060	
 0,1000162761	 0,9019994736	 1,4931929111	
 0,1200195314	 0,9121263027	 1,4931714535	
 0,1400227866	 0,9011423588	 1,4931583405	
 0,1600260418	 0,8975565434	 1,4931535721	
 0,1800292971	 0,8996808529	 1,4931547642	
 0,2000325523	 0,9021818638	 1,4931619167	
 0,2200358075	 0,9035861492	 1,4931666851	
 0,2400390628	 0,8981895447	 1,4931797981	
 0,2600423180	 0,9025740623	 1,4931809902	
 0,2800455732	 0,9034967422	 1,4931750298	
 0,3000488284	 0,8996391296	 1,4931702614	
 0,3200520837	 0,8941829205	 1,4931702614	
 0,3400553389	 0,8939957619	 1,4931809902	
 0,3600585941	 0,8999252319	 1,4931857586	
 0,3800618494	 0,9010601044	 1,4931702614	
 0,4000651046	 0,8957302570	 1,4931654930	
 0,4200683598	 0,8948099613	 1,4931738377	
 0,4400716150	 0,8934235573	 1,4931762218	
 0,4600748703	 0,8956706524	 1,4931666851	
 0,4800781255	 0,8997881413	 1,4931643009	
 0,5000813807	 0,8907878399	 1,4931631088	
 0,5200846360	 0,8921432495	 1,4931654930	
 0,5400878912	 0,9093785286	 1,4931714535	
 0,5600911464	 0,9139895439	 1,4931786060	
 0,5800944017	 0,9040296078	 1,4931750298	
 0,6000976569	 0,8927214146	 1,4931643009	
 0,6201009121	 0,8908343315	 1,4931738377	
 0,6401041673	 0,8924627304	 1,4931786060	
 0,6601074226	 0,8923029900	 1,4931762218	
 0,6801106778	 0,8921635151	 1,4931797981	
 0,7001139330	 0,8924269676	 1,4931786060	
 0,7201171883	 0,8936047554	 1,4931714535	
 0,7401204435	 0,8961987495	 1,4931702614	
 0,7601236987	 0,9011578560	 1,4931678772	
 0,7801269539	 0,9023356438	 1,4931583405	
 0,8001302092	 0,9011375904	 1,4931571484	
 0,8201334644	 0,8995449543	 1,4931619167	
 0,8401367196	 0,8981609344	 1,4931666851	
 0,8601399749	 0,9017634392	 1,4931786060	
 0,8801432301	 0,9031200409	 1,4931738377	
 0,9001464853	 0,8946573734	 1,4931559563	
 0,9201497406	 0,8911180496	 1,4931631088	
 0,9401529958	 0,8942627907	 1,4931678772	
 0,9601562510	 0,8943593502	 1,4931690693	
 0,9801595062	 0,8941411972	 1,4931643009	
 1,0001627615	 0,8949363232	 1,4931595325	
 1,0201660167	 0,8947634697	 1,4931666851	
 1,0401692719	 0,8925735950	 1,4931714535	
 1,0601725272	 0,8951818943	 1,4931714535	
 1,0801757824	 0,8957207203	 1,4931738377	
 1,1001790376	 0,8945727348	 1,4931690693	
 1,1201822928	 0,8989381790	 1,4931714535	
 1,1401855481	 0,8967006207	 1,4931750298	
 1,1601888033	 0,8965313435	 1,4931666851	
 1,1801920585	 0,8959066868	 1,4931619167	
 1,2001953138	 0,8959925175	 1,4931631088	
 1,2201985690	 0,8884632587	 1,4931702614	
 1,2402018242	 0,8835339546	 1,4931690693	
 1,2602050795	 0,8930075169	 1,4931738377	
 1,2802083347	 0,8940124512	 1,4932382107	
 1,3002115899	 0,8946788311	 1,4932644367	
 1,3202148451	 0,8992505074	 1,4932477474	
 1,3402181004	 0,9066617489	 1,4931285381	
 1,3602213556	 0,9158885479	 1,4940714836	
 1,3802246108	 0,9558308125	 1,4968085289	
 1,4002278661	 1,0439991951	 1,5006101131	
 1,4202311213	 1,1810386181	 1,5044307709	
 1,4402343765	 1,3620340824	 1,5083861351	
 1,4602376317	 1,5539574623	 1,5123832226	
 1,4802408870	 1,7427039146	 1,5162205696	
 1,5002441422	 1,9117498398	 1,5203511715	
 1,5202473974	 2,0364594460	 1,5243577957	
 1,5402506527	 2,1179783344	 1,5282022953	
 1,5602539079	 2,1584689617	 1,5319931507	
 1,5802571631	 2,1369564533	 1,5354979038	
 1,6002604184	 2,0746958256	 1,5382194519	
 1,6202636736	 1,9953751564	 1,5410315990	
 1,6402669288	 1,8845593929	 1,5441155434	
 1,6602701840	 1,7753577232	 1,5471184254	
 1,6802734393	 1,6989827156	 1,5503156185	
 1,7002766945	 1,6366827488	 1,5532946587	
 1,7202799497	 1,5775132179	 1,5561556816	
 1,7402832050	 1,5232729912	 1,5590560436	
 1,7602864602	 1,4781987667	 1,5617763996	
 1,7802897154	 1,4378726482	 1,5644454956	
 1,8002929707	 1,3906657696	 1,5668630600	
 1,8202962259	 1,3500761986	 1,5693378448	
 1,8402994811	 1,3164448738	 1,5719139576	
 1,8603027363	 1,2753915787	 1,5740501881	
 1,8803059916	 1,2346494198	 1,5761816502	
 1,9003092468	 1,1958992481	 1,5782654285	
 1,9203125020	 1,1617887020	 1,5802752972	
 1,9403157573	 1,1345493793	 1,5826237202	
 1,9603190125	 1,1034846306	 1,5847694874	
 1,9803222677	 1,0616958141	 1,5868616104	
 2,0003255229	 1,0240793228	 1,5891814232	
 2,0203287782	 0,9937357903	 1,5912377834	
 2,0403320334	 0,9632515907	 1,5933895111	
 2,0603352886	 0,9383165836	 1,5956330299	
 2,0803385439	 0,9182906151	 1,5976738930	
 2,1003417991	 0,9034550190	 1,5999746323	
 2,1203450543	 0,8871173859	 1,6024231911	
 2,1403483096	 0,8737170696	 1,6044831276	
 2,1603515648	 0,8677184582	 1,6062927246	
 2,1803548200	 0,8613622189	 1,6082358360	
 2,2003580752	 0,8595502377	 1,6103172302	
 2,2203613305	 0,8609366417	 1,6124176979	
 2,2403645857	 0,8524763584	 1,6145229340	
 2,2603678409	 0,8504390717	 1,6166496277	
 2,2803710962	 0,8498775959	 1,6187429428	
 2,3003743514	 0,8425915241	 1,6208207607	
 2,3203776066	 0,8405375481	 1,6230368614	
 2,3403808618	 0,8336508274	 1,6252124310	
 2,3603841171	 0,8267259598	 1,6271471977	
 2,3803873723	 0,8185172081	 1,6293311119	
 2,4003906275	 0,8106076717	 1,6317033768	
 2,4203938828	 0,8000969887	 1,6337406635	
 2,4403971380	 0,7844233513	 1,6356933117	
 2,4604003932	 0,7680928707	 1,6377162933	
 2,4804036485	 0,7462477684	 1,6398549080	
 2,5004069037	 0,7214045525	 1,6419565678	
 2,5204101589	 0,7083344460	 1,6437637806	
 2,5404134141	 0,7085180283	 1,6456472874	
 2,5604166694	 0,7085931301	 1,6479218006	
 2,5804199246	 0,7084643841	 1,6502356529	
 2,6004231798	 0,7100617886	 1,6522336006	
 2,6204264351	 0,7131528854	 1,6542434692	
 2,6404296903	 0,7268273830	 1,6563403606	
 2,6604329455	 0,7507967949	 1,6582906246	
 2,6804362007	 0,7782256603	 1,6602444649	
 2,7004394560	 0,8040237427	 1,6622698307	
 2,7204427112	 0,8359742165	 1,6642487049	
 2,7404459664	 0,8788347244	 1,6664469242	
 2,7604492217	 0,9240388870	 1,6688358784	
 2,7804524769	 0,9742140770	 1,6709542274	
 2,8004557321	 1,0424888134	 1,6728556156	
 2,8204589874	 1,1178851128	 1,6748189926	
 2,8404622426	 1,1882579327	 1,6769230366	
 2,8604654978	 1,2766468525	 1,6789400578	
 2,8804687530	 1,3758122921	 1,6807854176	
 2,9004720083	 1,4591157436	 1,6827285290	
 2,9204752635	 1,5343511105	 1,6848576069	
 2,9404785187	 1,6160571575	 1,6870522499	
 2,9604817740	 1,6981852055	 1,6891789436	
 2,9804850292	 1,7730975151	 1,6911041737	
 3,0004882844	 1,8370950222	 1,6930937767	
 3,0204915396	 1,8906092644	 1,6952812672	
 3,0404947949	 1,9411587715	 1,6974425316	
 3,0604980501	 1,9765961170	 1,6995286942	
 3,0805013053	 1,9967293739	 1,7015266418	
 3,1005045606	 1,9822704792	 1,7035531998	
 3,1205078158	 1,9377410412	 1,7057275772	
 3,1405110710	 1,8851125240	 1,7079114914	
 3,1605143263	 1,8382906914	 1,7099392414	
 3,1805175815	 1,8126690388	 1,7120027542	
 3,2005208367	 1,7529451847	 1,7140841484	
 3,2205240919	 1,6826832294	 1,7161464691	
 3,2405273472	 1,6380763054	 1,7183518410	
 3,2605306024	 1,5925276279	 1,7203664780	
 3,2805338576	 1,5326106548	 1,7223978043	
 3,3005371129	 1,4631509781	 1,7244482040	
 3,3205403681	 1,4303052425	 1,7264950275	
 3,3405436233	 1,4109778404	 1,7286574841	
 3,3605468785	 1,3790881634	 1,7306590080	
 3,3805501338	 1,3494968414	 1,7326807976	
 3,4005533890	 1,3188648224	 1,7347848415	
 3,4205566442	 1,2740039825	 1,7369043827	
 3,4405598995	 1,2416851521	 1,7389738560	
 3,4605631547	 1,2204742432	 1,7410683632	
 3,4805664099	 1,1962628365	 1,7429292202	
 3,5005696652	 1,1811125278	 1,7450094223	
