QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 1,1559891701	 1,4453160763	
 0,0200032552	 1,1549293995	 1,4453089237	
 0,0400065105	 1,1533653736	 1,4453089237	
 0,0600097657	 1,1534154415	 1,4453148842	
 0,0800130209	 1,1551725864	 1,4453077316	
 0,1000162761	 1,1540174484	 1,4453041553	
 0,1200195314	 1,1520648003	 1,4453053474	
 0,1400227866	 1,1531746387	 1,4453089237	
 0,1600260418	 1,1529016495	 1,4453196526	
 0,1800292971	 1,1533808708	 1,4453208447	
 0,2000325523	 1,1559259892	 1,4453148842	
 0,2200358075	 1,1550951004	 1,4453136921	
 0,2400390628	 1,1543500423	 1,4453077316	
 0,2600423180	 1,1539542675	 1,4453077316	
 0,2800455732	 1,1525630951	 1,4453077316	
 0,3000488284	 1,1524641514	 1,4453065395	
 0,3200520837	 1,1522829533	 1,4453148842	
 0,3400553389	 1,1522185802	 1,4453148842	
 0,3600585941	 1,1506569386	 1,4453148842	
 0,3800618494	 1,1495721340	 1,4453208447	
 0,4000651046	 1,1513304710	 1,4453160763	
 0,4200683598	 1,1540579796	 1,4453196526	
 0,4400716150	 1,1533200741	 1,4453184605	
 0,4600748703	 1,1505758762	 1,4453089237	
 0,4800781255	 1,1536395550	 1,4453136921	
 0,5000813807	 1,1536836624	 1,4453208447	
 0,5200846360	 1,1506068707	 1,4453244209	
 0,5400878912	 1,1527585983	 1,4453244209	
 0,5600911464	 1,1535573006	 1,4453089237	
 0,5800944017	 1,1526393890	 1,4453184605	
 0,6000976569	 1,1517965794	 1,4453351498	
 0,6201009121	 1,1514580250	 1,4453279972	
 0,6401041673	 1,1508107185	 1,4453184605	
 0,6601074226	 1,1502873898	 1,4453136921	
 0,6801106778	 1,1525559425	 1,4453220367	
 0,7001139330	 1,1527442932	 1,4453160763	
 0,7201171883	 1,1522603035	 1,4453136921	
 0,7401204435	 1,1530268192	 1,4453160763	
 0,7601236987	 1,1533796787	 1,4453136921	
 0,7801269539	 1,1538732052	 1,4453184605	
 0,8001302092	 1,1491847038	 1,4453125000	
 0,8201334644	 1,1502933502	 1,4453065395	
 0,8401367196	 1,1541497707	 1,4453148842	
 0,8601399749	 1,1535072327	 1,4453184605	
 0,8801432301	 1,1513400078	 1,4453172684	
 0,9001464853	 1,1513459682	 1,4453136921	
 0,9201497406	 1,1493420601	 1,4453172684	
 0,9401529958	 1,1470973492	 1,4453208447	
 0,9601562510	 1,1522781849	 1,4453113079	
 0,9801595062	 1,1528611183	 1,4453053474	
 1,0001627615	 1,1493337154	 1,4453053474	
 1,0201660167	 1,1489021778	 1,4453125000	
 1,0401692719	 1,1523687840	 1,4453125000	
 1,0601725272	 1,1519503593	 1,4453101158	
 1,0801757824	 1,1505210400	 1,4453041553	
 1,1001790376	 1,1518144608	 1,4453172684	
 1,1201822928	 1,1513209343	 1,4457941055	
 1,1401855481	 1,1613512039	 1,4457595348	
 1,1601888033	 1,2144649029	 1,4457821846	
 1,1801920585	 1,3208973408	 1,4481687546	
 1,2001953138	 1,4691329002	 1,4518642426	
 1,2201985690	 1,6819322109	 1,4558136463	
 1,2402018242	 1,9422733784	 1,4595460892	
 1,2602050795	 2,1848583221	 1,4631509781	
 1,2802083347	 2,3214495182	 1,4667880535	
 1,3002115899	 2,2914314270	 1,4703929424	
 1,3202148451	 2,1229529381	 1,4740073681	
 1,3402181004	 1,8840694427	 1,4780104160	
 1,3602213556	 1,6357517242	 1,4817047119	
 1,3802246108	 1,4107573032	 1,4848148823	
 1,4002278661	 1,2308013439	 1,4879238605	
 1,4202311213	 1,0894596577	 1,4909911156	
 1,4402343765	 0,9673321247	 1,4937734604	
 1,4602376317	 0,8628284931	 1,4975321293	
 1,4802408870	 0,7730543613	 1,5017509460	
 1,5002441422	 0,6891059875	 1,5043354034	
 1,5202473974	 0,6112778187	 1,5067303181	
 1,5402506527	 0,5399024487	 1,5097796917	
 1,5602539079	 0,4737985134	 1,5122342110	
 1,5802571631	 0,4118549824	 1,5140664577	
 1,6002604184	 0,3541660309	 1,5165472031	
 1,6202636736	 0,3024756908	 1,5189969540	
 1,6402669288	 0,2563869953	 1,5211129189	
 1,6602701840	 0,2155458927	 1,5232861042	
 1,6802734393	 0,1820421219	 1,5259158611	
 1,7002766945	 0,1545345783	 1,5285515785	
 1,7202799497	 0,1320517063	 1,5307462215	
 1,7402832050	 0,1137256622	 1,5326917171	
 1,7602864602	 0,0981426239	 1,5348434448	
 1,7802897154	 0,0869536400	 1,5370464325	
 1,8002929707	 0,0781357288	 1,5388774872	
 1,8202962259	 0,0701475143	 1,5407764912	
 1,8402994811	 0,0647854805	 1,5429449081	
 1,8603027363	 0,0602495670	 1,5450859070	
 1,8803059916	 0,0565445423	 1,5472137928	
 1,9003092468	 0,0537455082	 1,5494143963	
 1,9203125020	 0,0521993637	 1,5515410900	
 1,9403157573	 0,0514066219	 1,5536653996	
 1,9603190125	 0,0514090061	 1,5557849407	
 1,9803222677	 0,0529754162	 1,5579402447	
 2,0003255229	 0,0552880764	 1,5601229668	
 2,0203287782	 0,0582802296	 1,5623092651	
 2,0403320334	 0,0617659092	 1,5645492077	
 2,0603352886	 0,0662279129	 1,5664410591	
 2,0803385439	 0,0711309910	 1,5684926510	
 2,1003417991	 0,0767791271	 1,5707612038	
 2,1203450543	 0,0843465328	 1,5727901459	
 2,1403483096	 0,0939095020	 1,5746951103	
 2,1603515648	 0,1050949097	 1,5766203403	
 2,1803548200	 0,1204741001	 1,5787351131	
 2,2003580752	 0,1404106617	 1,5809571743	
 2,2203613305	 0,1641523838	 1,5832185745	
 2,2403645857	 0,1959741116	 1,5851676464	
 2,2603678409	 0,2339136600	 1,5873086452	
 2,2803710962	 0,2722799778	 1,5894210339	
 2,3003743514	 0,3089940548	 1,5912449360	
 2,3203776066	 0,3466939926	 1,5934538841	
 2,3403808618	 0,3823018074	 1,5956568718	
 2,3603841171	 0,4098570347	 1,5977895260	
 2,3803873723	 0,4345560074	 1,6000044346	
 2,4003906275	 0,4582488537	 1,6020500660	
 2,4203938828	 0,4781246185	 1,6040623188	
 2,4403971380	 0,4976809025	 1,6061341763	
 2,4604003932	 0,5190908909	 1,6081750393	
 2,4804036485	 0,5394399166	 1,6101241112	
 2,5004069037	 0,5588960648	 1,6121053696	
 2,5204101589	 0,5823791027	 1,6140961647	
 2,5404134141	 0,6081318855	 1,6160774231	
 2,5604166694	 0,6324684620	 1,6180610657	
 2,5804199246	 0,6581377983	 1,6202962399	
 2,6004231798	 0,6888270378	 1,6224741936	
 2,6204264351	 0,7212543488	 1,6244423389	
 2,6404296903	 0,7516312599	 1,6266536713	
 2,6604329455	 0,7857775688	 1,6288888454	
 2,6804362007	 0,8212769032	 1,6311156750	
 2,7004394560	 0,8541417122	 1,6332161427	
 2,7204427112	 0,8904123306	 1,6351747513	
 2,7404459664	 0,9304571152	 1,6370677948	
 2,7604492217	 0,9696602821	 1,6391837597	
 2,7804524769	 1,0116505623	 1,6413533688	
 2,8004557321	 1,0583484173	 1,6431677341	
 2,8204589874	 1,1057579517	 1,6450595856	
 2,8404622426	 1,1555290222	 1,6472291946	
 2,8604654978	 1,2111234665	 1,6492795944	
 2,8804687530	 1,2746238708	 1,6513144970	
 2,9004720083	 1,3446557522	 1,6532862186	
 2,9204752635	 1,4217400551	 1,6553127766	
 2,9404785187	 1,5143799782	 1,6574394703	
 2,9604817740	 1,6190326214	 1,6593742371	
 2,9804850292	 1,7318534851	 1,6612827778	
 3,0004882844	 1,8493628502	 1,6631805897	
 3,0204915396	 1,9584500790	 1,6652631760	
 3,0404947949	 2,0511949062	 1,6675245762	
 3,0604980501	 2,1171808243	 1,6697943211	
 3,0805013053	 2,1436357498	 1,6718304157	
 3,1005045606	 2,1290254593	 1,6735720634	
 3,1205078158	 2,0798873901	 1,6755414009	
 3,1405110710	 1,9947600365	 1,6777336597	
 3,1605143263	 1,8811464310	 1,6795921326	
 3,1805175815	 1,7572021484	 1,6814434528	
 3,2005208367	 1,6295182705	 1,6834902763	
 3,2205240919	 1,4971697330	 1,6856694221	
 3,2405273472	 1,3740134239	 1,6879165173	
 3,2605306024	 1,2673842907	 1,6898894310	
 3,2805338576	 1,1715722084	 1,6918838024	
 3,3005371129	 1,0854434967	 1,6939878464	
 3,3205403681	 1,0094749928	 1,6959846020	
 3,3405436233	 0,9404623508	 1,6981744766	
 3,3605468785	 0,8738803864	 1,7003071308	
 3,3805501338	 0,8131945133	 1,7022371292	
 3,4005533890	 0,7560551167	 1,7043340206	
 3,4205566442	 0,6993019581	 1,7066085339	
 3,4405598995	 0,6463432312	 1,7087090015	
 3,4605631547	 0,5950498581	 1,7108249664	
 3,4805664099	 0,5444693565	 1,7128992081	
 3,5005696652	 0,4950654507	 1,7149221897	
