Element;Fluorecence yield;Energy;Cross section;Source
Be;3.300E-04;1.00E+00;1.320E+03;Lapicki
Be;3.300E-04;1.00E+00;1.680E+03;Lapicki
Be;3.300E-04;1.50E+00;1.520E+03;Lapicki
Be;3.300E-04;7.50E-01;1.430E+03;Lapicki
C;2.800E-03;1.50E+00;3.000E+03;Lapicki
C;2.800E-03;7.75E-01;2.280E+03;Lapicki
C;2.800E-03;1.02E+00;2.240E+03;Lapicki
C;2.800E-03;1.51E+00;2.020E+03;Lapicki
C;2.800E-03;1.20E+01;2.800E+02;Lapicki
C;2.800E-03;1.00E+00;1.800E+03;Lapicki
C;2.800E-03;8.00E+00;8.400E+02;Lapicki
C;2.800E-03;1.00E+00;7.000E+02;Lapicki
C;2.800E-03;1.02E+00;2.450E+03;Lapicki
C;2.800E-03;7.00E+00;8.300E+02;Lapicki
C;2.800E-03;8.00E+00;8.100E+02;Lapicki
C;2.800E-03;1.00E+00;2.100E+03;Lapicki
C;2.800E-03;1.00E+00;2.270E+03;Lapicki
Al;3.900E-02;1.50E+00;1.000E+03;Lapicki
Al;3.900E-02;1.00E+00;5.460E+02;Lapicki
Al;3.900E-02;1.50E+00;8.280E+02;Lapicki
Al;3.900E-02;1.02E+00;4.460E+02;Lapicki
Al;3.900E-02;1.53E+00;6.040E+02;Lapicki
Al;3.900E-02;7.50E-01;2.960E+02;Lapicki
Al;3.900E-02;1.00E+00;4.780E+02;Lapicki
Al;3.900E-02;1.50E+00;6.980E+02;Lapicki
Al;3.900E-02;1.00E+00;6.670E+02;Lapicki
Al;3.900E-02;7.50E-01;2.960E+02;Lapicki
Al;3.900E-02;9.13E+00;7.330E+02;Lapicki
Al;3.900E-02;1.22E+01;6.130E+02;Lapicki
Si;5.000E-02;7.50E-01;2.470E+02;Lapicki
Si;5.000E-02;1.00E+00;3.950E+02;Lapicki
Si;5.000E-02;1.50E+00;6.350E+02;Lapicki
S;7.800E-02;1.40E+00;4.620E+02;Lapicki
S;7.800E-02;1.50E+00;4.660E+02;Lapicki
S;7.800E-02;8.00E-01;2.950E+02;Lapicki
S;7.800E-02;1.00E+00;4.040E+02;Lapicki
S;7.800E-02;1.40E+00;6.430E+02;Lapicki
S;7.800E-02;1.00E+00;3.140E+02;Lapicki
S;7.800E-02;1.30E+00;4.570E+02;Lapicki
K;1.400E-01;1.40E+00;2.200E+02;Lapicki
K;1.400E-01;1.50E+00;2.270E+02;Lapicki
K;1.400E-01;8.00E-01;8.650E+01;Lapicki
K;1.400E-01;1.00E+00;1.230E+02;Lapicki
K;1.400E-01;1.20E+00;1.790E+02;Lapicki
K;1.400E-01;1.40E+00;2.460E+02;Lapicki
K;1.400E-01;1.00E+00;1.570E+02;Lapicki
Ca;1.630E-01;7.00E+00;6.320E+02;Lapicki
Ca;1.630E-01;9.00E+00;6.350E+02;Lapicki
Ca;1.630E-01;1.00E+01;6.120E+02;Lapicki
Ca;1.630E-01;1.20E+01;6.180E+02;Lapicki
Ca;1.630E-01;9.00E+00;7.950E+02;Lapicki
Ca;1.630E-01;1.10E+01;7.760E+02;Lapicki
Ca;1.630E-01;8.50E-01;5.070E+01;Lapicki
Ca;1.630E-01;1.00E+00;7.500E+01;Lapicki
Ca;1.630E-01;1.15E+00;1.010E+02;Lapicki
Ca;1.630E-01;1.30E+00;1.290E+02;Lapicki
Ca;1.630E-01;1.50E+00;1.670E+02;Lapicki
Ca;1.630E-01;1.00E+00;9.160E+01;Lapicki
Cr;2.750E-01;8.00E-01;2.090E+01;Lapicki
Cr;2.750E-01;1.00E+00;3.600E+01;Lapicki
Cr;2.750E-01;1.20E+00;5.500E+01;Lapicki
Cr;2.750E-01;1.50E+00;9.400E+01;Lapicki
Cr;2.750E-01;1.05E+00;2.150E+01;Lapicki
Cr;2.750E-01;1.00E+00;2.500E+01;Lapicki
Cr;2.750E-01;7.00E+00;6.190E+02;Lapicki
Cr;2.750E-01;9.00E+00;6.630E+02;Lapicki
Cr;2.750E-01;1.10E+01;6.780E+02;Lapicki
Cr;2.750E-01;1.00E+00;2.800E+01;Lapicki
Cr;2.750E-01;1.50E+00;7.260E+01;Lapicki
Cr;2.750E-01;7.00E+00;3.800E+02;Lapicki
Cr;2.750E-01;7.00E+00;3.950E+02;Lapicki
Mn;3.080E-01;7.00E+00;5.190E+02;Lapicki
Mn;3.080E-01;8.50E+00;5.970E+02;Lapicki
Mn;3.080E-01;1.00E+01;5.470E+02;Lapicki
Mn;3.080E-01;1.20E+01;6.560E+02;Lapicki
Mn;3.080E-01;8.00E-01;1.450E+01;Lapicki
Mn;3.080E-01;1.00E+00;2.600E+01;Lapicki
Mn;3.080E-01;7.50E-01;9.140E+00;Lapicki
Mn;3.080E-01;1.00E+00;2.100E+01;Lapicki
Mn;3.080E-01;1.50E+00;5.200E+01;Lapicki
Mn;3.080E-01;1.20E+00;3.520E+01;Lapicki
Fe;3.400E-01;9.35E-01;6.800E+00;Lapicki
Fe;3.400E-01;1.04E+00;1.100E+01;Lapicki
Fe;3.400E-01;1.30E+00;1.700E+01;Lapicki
Fe;3.400E-01;1.50E+00;3.800E+01;Lapicki
Fe;3.400E-01;1.00E+00;1.400E+01;Lapicki
Fe;3.400E-01;1.00E+00;1.100E+01;Lapicki
Fe;3.400E-01;7.00E+00;4.290E+02;Lapicki
Fe;3.400E-01;8.00E+00;4.490E+02;Lapicki
Fe;3.400E-01;1.00E+01;4.900E+02;Lapicki
Fe;3.400E-01;1.20E+01;4.940E+02;Lapicki
Fe;3.400E-01;8.00E-01;9.500E+00;Lapicki
Fe;3.400E-01;1.00E+00;1.690E+01;Lapicki
Fe;3.400E-01;1.20E+00;2.960E+01;Lapicki
Fe;3.400E-01;1.50E+00;5.020E+01;Lapicki
Fe;3.400E-01;8.94E+00;4.950E+02;Lapicki
Fe;3.400E-01;1.09E+01;5.290E+02;Lapicki
Fe;3.400E-01;8.00E-01;1.050E+01;Lapicki
Fe;3.400E-01;1.00E+00;1.870E+01;Lapicki
Fe;3.400E-01;1.20E+00;3.100E+01;Lapicki
Fe;3.400E-01;1.50E+00;5.400E+01;Lapicki
Fe;3.400E-01;1.00E+00;1.490E+01;Lapicki
Fe;3.400E-01;1.50E+00;3.900E+01;Lapicki
Fe;3.400E-01;8.00E+00;5.000E+02;Lapicki
Fe;3.400E-01;1.00E+01;5.480E+02;Lapicki
Fe;3.400E-01;1.20E+01;6.040E+02;Lapicki
Fe;3.400E-01;1.40E+01;5.690E+02;Lapicki
Fe;3.400E-01;1.00E+00;1.680E+01;Lapicki
Fe;3.400E-01;1.20E+00;2.740E+01;Lapicki
Fe;3.400E-01;1.00E+00;1.760E+01;Lapicki
Fe;3.400E-01;1.10E+00;2.050E+01;Lapicki
Fe;3.400E-01;1.30E+00;3.110E+01;Lapicki
Fe;3.400E-01;1.40E+00;3.810E+01;Lapicki
Fe;3.400E-01;1.50E+00;4.250E+01;Lapicki
Co;3.730E-01;1.00E+00;7.600E+00;Lapicki
Co;3.730E-01;1.50E+00;4.200E+01;Lapicki
Co;3.730E-01;8.00E-01;6.400E+00;Lapicki
Co;3.730E-01;9.00E-01;9.500E+00;Lapicki
Co;3.730E-01;1.00E+00;1.720E+01;Lapicki
Co;3.730E-01;1.10E+00;1.650E+01;Lapicki
Co;3.730E-01;1.20E+00;1.990E+01;Lapicki
Co;3.730E-01;1.30E+00;2.470E+01;Lapicki
Co;3.730E-01;1.40E+00;2.790E+01;Lapicki
Co;3.730E-01;1.50E+00;3.340E+01;Lapicki
Co;3.730E-01;1.50E+00;3.720E+01;Lapicki
Co;3.730E-01;8.94E+00;4.250E+02;Lapicki
Co;3.730E-01;1.09E+01;4.610E+02;Lapicki
Co;3.730E-01;8.00E-01;9.200E+00;Lapicki
Co;3.730E-01;9.00E-01;1.210E+01;Lapicki
Co;3.730E-01;1.00E+00;1.660E+01;Lapicki
Co;3.730E-01;1.10E+00;2.100E+01;Lapicki
Co;3.730E-01;1.20E+00;2.600E+01;Lapicki
Co;3.730E-01;1.30E+00;3.200E+01;Lapicki
Co;3.730E-01;1.40E+00;3.900E+01;Lapicki
Co;3.730E-01;1.50E+00;4.500E+01;Lapicki
Co;3.730E-01;8.00E-01;6.020E+00;Lapicki
Co;3.730E-01;9.00E-01;8.570E+00;Lapicki
Co;3.730E-01;1.00E+00;1.130E+01;Lapicki
Co;3.730E-01;1.10E+00;1.480E+01;Lapicki
Co;3.730E-01;1.20E+00;1.880E+01;Lapicki
Co;3.730E-01;1.30E+00;2.340E+01;Lapicki
Co;3.730E-01;1.40E+00;2.780E+01;Lapicki
Co;3.730E-01;1.50E+00;3.220E+01;Lapicki
Co;3.730E-01;8.00E-01;6.480E+00;Lapicki
Co;3.730E-01;1.00E+00;1.250E+01;Lapicki
Co;3.730E-01;1.20E+00;2.080E+01;Lapicki
Co;3.730E-01;1.40E+00;3.050E+01;Lapicki
Co;3.730E-01;8.00E-01;6.250E+00;Lapicki
Co;3.730E-01;1.00E+00;1.230E+01;Lapicki
Co;3.730E-01;1.20E+00;2.000E+01;Lapicki
Co;3.730E-01;1.40E+00;2.930E+01;Lapicki
Ni;4.060E-01;8.00E+00;4.090E+02;Lapicki
Ni;4.060E-01;1.00E+01;4.770E+02;Lapicki
Ni;4.060E-01;1.40E+01;5.240E+02;Lapicki
Ni;4.060E-01;1.00E+00;7.200E+00;Lapicki
Ni;4.060E-01;7.00E+00;3.530E+02;Lapicki
Ni;4.060E-01;8.00E+00;3.180E+02;Lapicki
Ni;4.060E-01;8.50E+00;4.180E+02;Lapicki
Ni;4.060E-01;9.00E+00;3.620E+02;Lapicki
Ni;4.060E-01;1.00E+01;4.060E+02;Lapicki
Ni;4.060E-01;1.05E+01;4.550E+02;Lapicki
Ni;4.060E-01;1.10E+01;4.540E+02;Lapicki
Ni;4.060E-01;1.20E+01;4.930E+02;Lapicki
Ni;4.060E-01;8.94E+00;3.840E+02;Lapicki
Ni;4.060E-01;1.09E+01;4.170E+02;Lapicki
Ni;4.060E-01;8.00E-01;6.200E+00;Lapicki
Ni;4.060E-01;9.00E-01;8.300E+00;Lapicki
Ni;4.060E-01;1.00E+00;1.160E+01;Lapicki
Ni;4.060E-01;1.10E+00;1.530E+01;Lapicki
Ni;4.060E-01;1.20E+00;1.820E+01;Lapicki
Ni;4.060E-01;1.30E+00;2.400E+01;Lapicki
Ni;4.060E-01;1.40E+00;2.700E+01;Lapicki
Ni;4.060E-01;1.50E+00;3.500E+01;Lapicki
Ni;4.060E-01;7.50E-01;3.160E+00;Lapicki
Ni;4.060E-01;8.50E-01;4.200E+00;Lapicki
