130,317,1.733,1.760,1.014,2.517
160,367,2.067,2.120,1.015,2.519
200,433,2.533,2.560,0.999,2.514
230,450,2.933,2.960,1.006,2.517
260,517,3.400,3.440,1.004,2.513
300,583,3.800,3.840,0.993,2.507
330,650,4.067,4.120,0.988,2.513
360,717,4.533,4.560,0.981,2.510
400,883,5.000,5.040,0.981,2.521
450,883,5.733,5.760,0.979,2.514
500,983,6.267,6.280,0.976,2.513
550,1083,6.933,6.933,0.970,2.518
600,1167,7.467,7.533,0.968,2.517
650,1283,8.133,8.133,0.963,2.519
700,1383,8.867,8.800,0.965,2.516
750,1483,9.400,9.400,0.964,2.518
800,1567,10.170,10.067,0.957,2.511
