--------------------------------------------------------------------------------
.//Study_2508_Coffee//data//Holm_Kol_Gemahlen_A.csv
--------------------------------------------------------------------------------
Bin     | E_range (eV)      | El. | Line  | Energy (eV) | Int.  
Bin 26  | 250.0 - 290.0     | ---------------------------------
                            | C   | Ka3   | 266.2       | 0.0   
                            | C   | Ka2   | 277.0       | 0.334 
                            | C   | Ka1   | 277.0       | 0.666 
                            | Cl  | Lb4   | 260.0       | 0.414 
                            | Cl  | Lb3   | 260.0       | 0.586 
                            | K   | Ln    | 262.5       | 1.0   
                            | K   | Ll    | 259.8       | 1.0   
                            | Rh  | Mz    | 261.4       | 1.0   
                            | Pd  | Mz    | 284.8       | 1.0   
Bin 38  | 370.0 - 410.0     | ---------------------------------
                            | N   | Ka3   | 372.6       | 0.0   
                            | N   | Ka2   | 392.4       | 0.334 
                            | N   | Ka1   | 392.4       | 0.666 
                            | Ti  | Ln    | 401.5       | 0.081 
                            | Ti  | Ll    | 395.1       | 0.099 
                            | In  | Mz    | 377.9       | 1.0   
                            | Sn  | Mz    | 409.6       | 1.0   
Bin 51  | 500.0 - 540.0     | ---------------------------------
                            | O   | Ka3   | 501.5       | 0.0   
                            | O   | Ka2   | 524.9       | 0.334 
                            | O   | Ka1   | 524.9       | 0.666 
                            | Ti  | Lb4   | 528.3       | 0.414 
                            | Ti  | Lb3   | 528.3       | 0.586 
                            | V   | Lb1   | 517.8       | 0.921 
                            | V   | La2   | 510.1       | 0.089 
                            | V   | La1   | 510.1       | 0.812 
                            | Cr  | Ln    | 509.7       | 0.078 
                            | Cr  | Ll    | 500.0       | 0.099 
                            | Pd  | Mg    | 530.3       | 1.0   
                            | Sb  | Mb    | 537.5       | 0.997 
                            | Sb  | Ma    | 528.2       | 1.0   
                            | I   | Mz    | 507.8       | 0.003 
Bin 68  | 670.0 - 710.0     | ---------------------------------
                            | F   | Ka2   | 676.8       | 0.334 
                            | F   | Ka1   | 676.8       | 0.666 
                            | Fe  | La2   | 704.8       | 0.089 
                            | Fe  | La1   | 704.8       | 0.812 
                            | Co  | Ln    | 692.2       | 0.073 
                            | Co  | Ll    | 677.1       | 0.085 
                            | Sn  | Mg    | 690.7       | 1.0   
                            | Xe  | Mb    | 689.0       | 0.997 
                            | Xe  | Ma    | 676.4       | 1.0   
                            | Ce  | Mz    | 679.2       | 0.003 
Bin 71  | 700.0 - 740.0     | ---------------------------------
                            | Mn  | Lb4   | 721.9       | 0.414 
                            | Mn  | Lb3   | 721.9       | 0.586 
                            | Fe  | Lb1   | 717.9       | 0.926 
                            | Fe  | La2   | 704.8       | 0.089 
                            | Fe  | La1   | 704.8       | 0.812 
                            | Sb  | Mg    | 734.3       | 1.0   
                            | Cs  | Ma    | 726.6       | 1.0   
                            | Pr  | Mz    | 712.0       | 0.003 
Bin 78  | 770.0 - 810.0     | ---------------------------------
                            | Fe  | Lb4   | 791.9       | 0.414 
                            | Fe  | Lb3   | 791.9       | 0.586 
                            | Co  | Lb1   | 790.2       | 0.927 
                            | Co  | La2   | 775.1       | 0.091 
                            | Co  | La1   | 775.1       | 0.824 
                            | Te  | Mg    | 780.4       | 1.0   
                            | Ba  | Mb    | 795.7       | 0.997 
                            | Ba  | Ma    | 780.5       | 1.0   
                            | Pm  | Mz    | 810.0       | 0.003 
Bin 85  | 840.0 - 880.0     | ---------------------------------
                            | Ne  | Ka2   | 848.5       | 0.334 
                            | Ne  | Ka1   | 848.6       | 0.666 
                            | Co  | Lb4   | 866.2       | 0.414 
                            | Co  | Lb3   | 865.2       | 0.586 
                            | Ni  | Lb1   | 866.0       | 0.931 
                            | Ni  | La2   | 848.7       | 0.092 
                            | Ni  | La1   | 848.7       | 0.833 
                            | Xe  | Mg    | 873.1       | 1.0   
                            | La  | Mb    | 853.0       | 0.997 
                            | Sm  | Mz    | 845.3       | 0.003 
                            | Eu  | Mz    | 874.6       | 0.003 
Bin 90  | 890.0 - 930.0     | ---------------------------------
                            | Cu  | La2   | 927.7       | 0.092 
                            | Cu  | La1   | 927.7       | 0.84  
                            | Zn  | Ln    | 905.1       | 0.064 
                            | Cs  | Mg    | 925.5       | 1.0   
                            | Ce  | Mb    | 902.3       | 0.997 
                            | Pr  | Ma    | 926.8       | 1.0   
Bin 93  | 920.0 - 960.0     | ---------------------------------
                            | Ni  | Lb4   | 940.6       | 0.414 
                            | Ni  | Lb3   | 942.4       | 0.586 
                            | Cu  | Lb1   | 947.3       | 0.934 
                            | Cu  | La2   | 927.7       | 0.092 
                            | Cu  | La1   | 927.7       | 0.84  
                            | Ga  | Ll    | 956.89      | 0.058 
                            | Cs  | Mg    | 925.5       | 1.0   
                            | Pr  | Mb    | 946.3       | 0.997 
                            | Pr  | Ma    | 926.8       | 1.0   
                            | Gd  | Mz    | 935.9       | 0.003 
                            | Tb  | Mz    | 954.5       | 0.003 
Bin 103 | 1020.0 - 1060.0   | ---------------------------------
                            | Na  | Ka2   | 1040.4      | 0.334 
                            | Na  | Ka1   | 1040.3      | 0.666 
                            | Cu  | Lb3   | 1021.6      | 0.586 
                            | Zn  | Lb1   | 1034.7      | 0.936 
                            | Ge  | Ll    | 1036.9      | 0.054 
                            | La  | Mg    | 1025.5      | 1.0   
                            | Pm  | Mb    | 1048.0      | 0.997 
                            | Pm  | Ma    | 1023.0      | 1.0   
                            | Ho  | Mz    | 1048.5      | 0.003 
Bin 115 | 1140.0 - 1180.0   | ---------------------------------
                            | As  | Ln    | 1154.4      | 0.058 
