--------------------------------------------------------------------------------
.//Study_2508_Coffee//data//RCVT_grBohne_A.csv
--------------------------------------------------------------------------------
Bin     | E_range (eV)      | El. | Line  | Energy (eV) | Int.  
Bin 26  | 250.0 - 290.0     | ---------------------------------
                            | C   | Ka3   | 266.2       | 0.0   
                            | C   | Ka2   | 277.0       | 0.334 
                            | C   | Ka1   | 277.0       | 0.666 
                            | Cl  | Lb4   | 260.0       | 0.414 
                            | Cl  | Lb3   | 260.0       | 0.586 
                            | K   | Ln    | 262.5       | 1.0   
                            | K   | Ll    | 259.8       | 1.0   
                            | Rh  | Mz    | 261.4       | 1.0   
                            | Pd  | Mz    | 284.8       | 1.0   
Bin 38  | 370.0 - 410.0     | ---------------------------------
                            | N   | Ka3   | 372.6       | 0.0   
                            | N   | Ka2   | 392.4       | 0.334 
                            | N   | Ka1   | 392.4       | 0.666 
                            | Ti  | Ln    | 401.5       | 0.081 
                            | Ti  | Ll    | 395.1       | 0.099 
                            | In  | Mz    | 377.9       | 1.0   
                            | Sn  | Mz    | 409.6       | 1.0   
Bin 51  | 500.0 - 540.0     | ---------------------------------
                            | O   | Ka3   | 501.5       | 0.0   
                            | O   | Ka2   | 524.9       | 0.334 
                            | O   | Ka1   | 524.9       | 0.666 
                            | Ti  | Lb4   | 528.3       | 0.414 
                            | Ti  | Lb3   | 528.3       | 0.586 
                            | V   | Lb1   | 517.8       | 0.921 
                            | V   | La2   | 510.1       | 0.089 
                            | V   | La1   | 510.1       | 0.812 
                            | Cr  | Ln    | 509.7       | 0.078 
                            | Cr  | Ll    | 500.0       | 0.099 
                            | Pd  | Mg    | 530.3       | 1.0   
                            | Sb  | Mb    | 537.5       | 0.997 
                            | Sb  | Ma    | 528.2       | 1.0   
                            | I   | Mz    | 507.8       | 0.003 
Bin 65  | 640.0 - 680.0     | ---------------------------------
                            | F   | Ka3   | 651.7       | 0.0   
                            | F   | Ka2   | 676.8       | 0.334 
                            | F   | Ka1   | 676.8       | 0.666 
                            | Cr  | Lb4   | 653.8       | 0.414 
                            | Cr  | Lb3   | 653.8       | 0.586 
                            | Mn  | Lb1   | 647.9       | 0.924 
                            | Co  | Ll    | 677.1       | 0.085 
                            | In  | Mg    | 648.4       | 1.0   
                            | Xe  | Ma    | 676.4       | 1.0   
                            | La  | Mz    | 647.2       | 0.003 
                            | Ce  | Mz    | 679.2       | 0.003 
Bin 77  | 760.0 - 800.0     | ---------------------------------
                            | Fe  | Lb4   | 791.9       | 0.414 
                            | Fe  | Lb3   | 791.9       | 0.586 
                            | Co  | Lb1   | 790.2       | 0.927 
                            | Co  | La2   | 775.1       | 0.091 
                            | Co  | La1   | 775.1       | 0.824 
                            | Te  | Mg    | 780.4       | 1.0   
                            | Ba  | Mb    | 795.7       | 0.997 
                            | Ba  | Ma    | 780.5       | 1.0   
                            | Nd  | Mz    | 760.0       | 0.003 
Bin 125 | 1240.0 - 1280.0   | ---------------------------------
                            | Mg  | Ka2   | 1253.4      | 0.297 
                            | Mg  | Ka1   | 1253.79     | 0.592 
                            | Se  | Ln    | 1244.7      | 0.056 
                            | Tb  | Mb    | 1269.2      | 0.997 
                            | Hf  | Mz    | 1277.8      | 0.003 
Bin 149 | 1480.0 - 1520.0   | ---------------------------------
                            | Al  | Ka2   | 1486.1      | 0.297 
                            | Al  | Ka1   | 1486.5      | 0.591 
                            | Se  | Lb4   | 1485.5      | 0.347 
                            | Se  | Lb3   | 1491.3      | 0.492 
                            | Br  | La2   | 1480.0      | 0.094 
                            | Br  | La1   | 1481.0      | 0.857 
                            | Tm  | Mb    | 1510.4      | 0.997 
                            | Os  | Mz    | 1481.9      | 0.003 
Bin 202 | 2010.0 - 2050.0   | ---------------------------------
                            | P   | Ka1   | 2010.5      | 0.59  
                            | Rb  | Lg2   | 2048.7      | 0.074 
                            | Rb  | Lg3   | 2049.7      | 0.091 
                            | Y   | Lb6   | 2036.2      | 0.002 
                            | Zr  | La2   | 2041.9      | 0.096 
                            | Zr  | La1   | 2044.2      | 0.862 
                            | Mo  | Ll    | 2013.7      | 0.038 
                            | W   | Mg    | 2037.5      | 1.0   
                            | Pt  | Ma    | 2047.5      | 1.0   
                            | At  | Mz    | 2023.0      | 0.003 
Bin 330 | 3290.0 - 3330.0   | ---------------------------------
                            | K   | Ka2   | 3311.1      | 0.295 
                            | K   | Ka1   | 3313.8      | 0.587 
                            | Pd  | Lg1   | 3328.0      | 0.081 
                            | Cd  | Lb1   | 3315.1      | 0.876 
