QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 0,1679134369	 1,4463555813	
 0,0200032552	 0,1675522327	 1,4463520050	
 0,0400065105	 0,1673710346	 1,4463520050	
 0,0600097657	 0,1674723625	 1,4463448524	
 0,0800130209	 0,1677000523	 1,4463353157	
 0,1000162761	 0,1681041718	 1,4463472366	
 0,1200195314	 0,1686513424	 1,4463543892	
 0,1400227866	 0,1680266857	 1,4463520050	
 0,1600260418	 0,1674139500	 1,4463567734	
 0,1800292971	 0,1690542698	 1,4463543892	
 0,2000325523	 0,1690006256	 1,4463520050	
 0,2200358075	 0,1681005955	 1,4463591576	
 0,2400390628	 0,1684403419	 1,4463591576	
 0,2600423180	 0,1676273346	 1,4463567734	
 0,2800455732	 0,1667010784	 1,4463508129	
 0,3000488284	 0,1673352718	 1,4463543892	
 0,3200520837	 0,1676762104	 1,4463496208	
 0,3400553389	 0,1666843891	 1,4463424683	
 0,3600585941	 0,1671171188	 1,4463424683	
 0,3800618494	 0,1672756672	 1,4463400841	
 0,4000651046	 0,1663839817	 1,4463531971	
 0,4200683598	 0,1683509350	 1,4463615417	
 0,4400716150	 0,1688885689	 1,4463496208	
 0,4600748703	 0,1673865318	 1,4463460445	
 0,4800781255	 0,1685535908	 1,4463496208	
 0,5000813807	 0,1708400249	 1,4463508129	
 0,5200846360	 0,1688432693	 1,4463484287	
 0,5400878912	 0,1666998863	 1,4463496208	
 0,5600911464	 0,1684057713	 1,4463579655	
 0,5800944017	 0,1695001125	 1,4463663101	
 0,6000976569	 0,1677322388	 1,4463627338	
 0,6201009121	 0,1679539680	 1,4463567734	
 0,6401041673	 0,1693308353	 1,4463508129	
 0,6601074226	 0,1691305637	 1,4463531971	
 0,6801106778	 0,1686775684	 1,4463651180	
 0,7001139330	 0,1682174206	 1,4463615417	
 0,7201171883	 0,1688587666	 1,4463651180	
 0,7401204435	 0,1677918434	 1,4463603497	
 0,7601236987	 0,1682066917	 1,4463484287	
 0,7801269539	 0,1701772213	 1,4463496208	
 0,8001302092	 0,1686739922	 1,4463543892	
 0,8201334644	 0,1676285267	 1,4463579655	
 0,8401367196	 0,1703727245	 1,4463508129	
 0,8601399749	 0,1708519459	 1,4463508129	
 0,8801432301	 0,1685941219	 1,4463520050	
 0,9001464853	 0,1689338684	 1,4463639259	
 0,9201497406	 0,1697695255	 1,4463698864	
 0,9401529958	 0,1686596870	 1,4463567734	
 0,9601562510	 0,1693916321	 1,4463555813	
 0,9801595062	 0,1708281040	 1,4463543892	
 1,0001627615	 0,1693511009	 1,4463627338	
 1,0201660167	 0,1689136028	 1,4463603497	
 1,0401692719	 0,1710939407	 1,4463448524	
 1,0601725272	 0,1705002785	 1,4463543892	
 1,0801757824	 0,1684916019	 1,4463615417	
 1,1001790376	 0,1684224606	 1,4463555813	
 1,1201822928	 0,1680219173	 1,4463329315	
 1,1401855481	 0,1681602001	 1,4463388920	
 1,1601888033	 0,1695120335	 1,4463627338	
 1,1801920585	 0,1698100567	 1,4463591576	
 1,2001953138	 0,1691699028	 1,4463460445	
 1,2201985690	 0,1691687107	 1,4463353157	
 1,2402018242	 0,1687884331	 1,4463341236	
 1,2602050795	 0,1682615280	 1,4463376999	
 1,2802083347	 0,1680815220	 1,4463412762	
 1,3002115899	 0,1683378220	 1,4463484287	
 1,3202148451	 0,1693046093	 1,4463508129	
 1,3402181004	 0,1686370373	 1,4463436604	
 1,3602213556	 0,1663267612	 1,4463436604	
 1,3802246108	 0,1669406891	 1,4463508129	
 1,4002278661	 0,1687967777	 1,4463639259	
 1,4202311213	 0,1683771610	 1,4463567734	
 1,4402343765	 0,1689505577	 1,4463472366	
 1,4602376317	 0,1699626446	 1,4463531971	
 1,4802408870	 0,1679730415	 1,4463555813	
 1,5002441422	 0,1663362980	 1,4463496208	
 1,5202473974	 0,1680362225	 1,4463353157	
 1,5402506527	 0,1685011387	 1,4463448524	
 1,5602539079	 0,1668739319	 1,4463710785	
 1,5802571631	 0,1663780212	 1,4463698864	
 1,6002604184	 0,1673436165	 1,4463615417	
 1,6202636736	 0,1665353775	 1,4463579655	
 1,6402669288	 0,1661050320	 1,4463496208	
 1,6602701840	 0,1670539379	 1,4463460445	
 1,6802734393	 0,1670205593	 1,4463424683	
 1,7002766945	 0,1648712158	 1,4463365078	
 1,7202799497	 0,1648736000	 1,4463460445	
 1,7402832050	 0,1674878597	 1,4463520050	
 1,7602864602	 0,1667046547	 1,4463543892	
 1,7802897154	 0,1764261723	 1,4463829994	
 1,8002929707	 0,2077460289	 1,4477932453	
 1,8202962259	 0,2518820763	 1,4510273933	
 1,8402994811	 0,3005850315	 1,4548242092	
 1,8603027363	 0,3546714783	 1,4585101604	
 1,8803059916	 0,4086625576	 1,4622998238	
 1,9003092468	 0,4578340054	 1,4660584927	
 1,9203125020	 0,5080044270	 1,4696574211	
 1,9403157573	 0,5657184124	 1,4731025696	
 1,9603190125	 0,6191706657	 1,4769482613	
 1,9803222677	 0,6638729572	 1,4807367325	
 2,0003255229	 0,7104551792	 1,4839053154	
 2,0203287782	 0,7512521744	 1,4871478081	
 2,0403320334	 0,7803428173	 1,4903211594	
 2,0603352886	 0,8087873459	 1,4933800697	
 2,0803385439	 0,8323049545	 1,4966022968	
 2,1003417991	 0,8445966244	 1,4999938011	
 2,1203450543	 0,8378314972	 1,5035390854	
 2,1403483096	 0,8222770691	 1,5063679218	
 2,1603515648	 0,8128178120	 1,5089058876	
 2,1803548200	 0,8009219170	 1,5111279488	
 2,2003580752	 0,7864212990	 1,5130209923	
 2,2203613305	 0,7736086845	 1,5157473087	
 2,2403645857	 0,7619655132	 1,5183210373	
 2,2603678409	 0,7438206673	 1,5203702450	
 2,2803710962	 0,7289421558	 1,5222156048	
 2,3003743514	 0,7188034058	 1,5246212482	
 2,3203776066	 0,7059192657	 1,5272593498	
 2,3403808618	 0,6955504417	 1,5295791626	
 2,3603841171	 0,6819939613	 1,5314483643	
 2,3803873723	 0,6653892994	 1,5335810184	
 2,4003906275	 0,6551432610	 1,5360867977	
 2,4203938828	 0,6454801559	 1,5380501747	
 2,4403971380	 0,6313800812	 1,5402376652	
 2,4604003932	 0,6182837486	 1,5429174900	
 2,4804036485	 0,6056451797	 1,5450346470	
 2,5004069037	 0,5918359756	 1,5468311310	
 2,5204101589	 0,5773484707	 1,5490686893	
 2,5404134141	 0,5685949326	 1,5514147282	
 2,5604166694	 0,5569624901	 1,5535640717	
 2,5804199246	 0,5418872833	 1,5555036068	
 2,6004231798	 0,5316746235	 1,5574848652	
 2,6204264351	 0,5191040039	 1,5596365929	
 2,6404296903	 0,5044567585	 1,5618336201	
 2,6604329455	 0,4918670654	 1,5640115738	
 2,6804362007	 0,4801690578	 1,5661144257	
 2,7004394560	 0,4651403427	 1,5682208538	
 2,7204427112	 0,4507803917	 1,5703606606	
 2,7404459664	 0,4350805283	 1,5723395348	
 2,7604492217	 0,4199063778	 1,5742576122	
 2,7804524769	 0,4060840607	 1,5762925148	
 2,8004557321	 0,3898394108	 1,5782189369	
 2,8204589874	 0,3726649284	 1,5803277493	
 2,8404622426	 0,3586959839	 1,5825092793	
 2,8604654978	 0,3412842751	 1,5843760967	
 2,8804687530	 0,3281807899	 1,5863442421	
 2,9004720083	 0,3171145916	 1,5887439251	
 2,9204752635	 0,3035283089	 1,5908706188	
 2,9404785187	 0,2930629253	 1,5927898884	
 2,9604817740	 0,2818214893	 1,5948998928	
 2,9804850292	 0,2761018276	 1,5969133377	
 3,0004882844	 0,2701985836	 1,5989661217	
 3,0204915396	 0,2649474144	 1,6010713577	
 3,0404947949	 0,2643823624	 1,6031587124	
 3,0604980501	 0,2665174007	 1,6051483154	
 3,0805013053	 0,2719891071	 1,6071343422	
 3,1005045606	 0,2820575237	 1,6092574596	
 3,1205078158	 0,2936661243	 1,6113471985	
 3,1405110710	 0,3073334694	 1,6134095192	
 3,1605143263	 0,3235101700	 1,6154217720	
 3,1805175815	 0,3373682499	 1,6172897816	
 3,2005208367	 0,3514242172	 1,6194009781	
 3,2205240919	 0,3616809845	 1,6216003895	
 3,2405273472	 0,3719925880	 1,6235864162	
 3,2605306024	 0,3852665424	 1,6256284714	
 3,2805338576	 0,3970456123	 1,6276252270	
 3,3005371129	 0,4105544090	 1,6297531128	
 3,3205403681	 0,4257833958	 1,6320896149	
 3,3405436233	 0,4401469231	 1,6340255737	
 3,3605468785	 0,4593789577	 1,6359651089	
 3,3805501338	 0,4826152325	 1,6380095482	
 3,4005533890	 0,5025172234	 1,6400408745	
 3,4205566442	 0,5262923241	 1,6421496868	
 3,4405598995	 0,5522632599	 1,6440451145	
 3,4605631547	 0,5783033371	 1,6460907459	
 3,4805664099	 0,6072509289	 1,6483044624	
 3,5005696652	 0,6336295605	 1,6503882408	
