QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 0,5197525024	 1,4461410046	
 0,0200032552	 0,5225312710	 1,4461469650	
 0,0400065105	 0,5244207382	 1,4461505413	
 0,0600097657	 0,5213856697	 1,4461469650	
 0,0800130209	 0,5163109303	 1,4461565018	
 0,1000162761	 0,5159509182	 1,4461517334	
 0,1200195314	 0,5191254616	 1,4461469650	
 0,1400227866	 0,5195331573	 1,4461565018	
 0,1600260418	 0,5163252354	 1,4461529255	
 0,1800292971	 0,5210280418	 1,4461457729	
 0,2000325523	 0,5224120617	 1,4461612701	
 0,2200358075	 0,5140590668	 1,4461541176	
 0,2400390628	 0,5101263523	 1,4461410046	
 0,2600423180	 0,5093169212	 1,4461624622	
 0,2800455732	 0,5122852325	 1,4461684227	
 0,3000488284	 0,5093085766	 1,4461648464	
 0,3200520837	 0,5116689205	 1,4461553097	
 0,3400553389	 0,5194199085	 1,4461576939	
 0,3600585941	 0,5229413509	 1,4461636543	
 0,3800618494	 0,5183780193	 1,4461565018	
 0,4000651046	 0,5176496506	 1,4461565018	
 0,4200683598	 0,5225110054	 1,4461565018	
 0,4400716150	 0,5225563049	 1,4461469650	
 0,4600748703	 0,5195772648	 1,4461505413	
 0,4800781255	 0,5121207237	 1,4461648464	
 0,5000813807	 0,5140423775	 1,4461624622	
 0,5200846360	 0,5199849606	 1,4461624622	
 0,5400878912	 0,5163037777	 1,4461708069	
 0,5600911464	 0,5156266689	 1,4461660385	
 0,5800944017	 0,5211174488	 1,4461553097	
 0,6000976569	 0,5212867260	 1,4461624622	
 0,6201009121	 0,5179405212	 1,4461708069	
 0,6401041673	 0,5198049545	 1,4461588860	
 0,6601074226	 0,5235159397	 1,4461505413	
 0,6801106778	 0,5229866505	 1,4461576939	
 0,7001139330	 0,5190157890	 1,4461684227	
 0,7201171883	 0,5180037022	 1,4461779594	
 0,7401204435	 0,5221664906	 1,4461696148	
 0,7601236987	 0,5241107941	 1,4461660385	
 0,7801269539	 0,5233788490	 1,4461719990	
 0,8001302092	 0,5215954781	 1,4461612701	
 0,8201334644	 0,5209040642	 1,4461553097	
 0,8401367196	 0,5218553543	 1,4461565018	
 0,8601399749	 0,5224013329	 1,4461517334	
 0,8801432301	 0,5193901062	 1,4461493492	
 0,9001464853	 0,5224287510	 1,4461541176	
 0,9201497406	 0,5226778984	 1,4461648464	
 0,9401529958	 0,5168581009	 1,4461719990	
 0,9601562510	 0,5193078518	 1,4461743832	
 0,9801595062	 0,5189549923	 1,4461767673	
 1,0001627615	 0,5147182941	 1,4461743832	
 1,0201660167	 0,5199158192	 1,4461672306	
 1,0401692719	 0,5257225037	 1,4461588860	
 1,0601725272	 0,5250370502	 1,4461600780	
 1,0801757824	 0,5227184296	 1,4461553097	
 1,1001790376	 0,5196547508	 1,4461553097	
 1,1201822928	 0,5185437202	 1,4461529255	
 1,1401855481	 0,5177235603	 1,4461648464	
 1,1601888033	 0,5143809319	 1,4461696148	
 1,1801920585	 0,5064594746	 1,4461684227	
 1,2001953138	 0,4999732971	 1,4461719990	
 1,2201985690	 0,4994392395	 1,4461696148	
 1,2402018242	 0,5015194416	 1,4461708069	
 1,2602050795	 0,5103790760	 1,4461660385	
 1,2802083347	 0,5157279968	 1,4461731911	
 1,3002115899	 0,5185794830	 1,4461755753	
 1,3202148451	 0,5221474171	 1,4461672306	
 1,3402181004	 0,5203807354	 1,4461791515	
 1,3602213556	 0,5231261253	 1,4466738701	
 1,3802246108	 0,5210292339	 1,4465963840	
 1,4002278661	 0,4986619949	 1,4472544193	
 1,4202311213	 0,4662668705	 1,4503860474	
 1,4402343765	 0,4367661476	 1,4538168907	
 1,4602376317	 0,4153943062	 1,4573407173	
 1,4802408870	 0,4073643684	 1,4610540867	
 1,5002441422	 0,4190826416	 1,4648437500	
 1,5202473974	 0,4450857639	 1,4688360691	
 1,5402506527	 0,4758560658	 1,4721751213	
 1,5602539079	 0,5134022236	 1,4762473106	
 1,5802571631	 0,5423545837	 1,4804542065	
 1,6002604184	 0,5769848824	 1,4834630489	
 1,6202636736	 0,6183612347	 1,4865493774	
 1,6402669288	 0,6630897522	 1,4898085594	
 1,6602701840	 0,7088577747	 1,4929831028	
 1,6802734393	 0,7433390617	 1,4966535568	
 1,7002766945	 0,7922530174	 1,5004885197	
 1,7202799497	 0,8601045609	 1,5038013458	
 1,7402832050	 0,9358453751	 1,5064811707	
 1,7602864602	 1,0227715969	 1,5091359615	
 1,7802897154	 1,1371684074	 1,5111958981	
 1,8002929707	 1,2744379044	 1,5136039257	
 1,8202962259	 1,4106333256	 1,5167200565	
 1,8402994811	 1,5539062023	 1,5192592144	
 1,8603027363	 1,7082393169	 1,5220165253	
 1,8803059916	 1,8223428726	 1,5245628357	
 1,9003092468	 1,9013130665	 1,5270030499	
 1,9203125020	 1,9774436951	 1,5294098854	
 1,9403157573	 2,0073568821	 1,5315461159	
 1,9603190125	 2,0544731617	 1,5333342552	
 1,9803222677	 2,1586704254	 1,5356087685	
 2,0003255229	 2,1867263317	 1,5378546715	
 2,0203287782	 2,1742188931	 1,5395903587	
 2,0403320334	 2,1696805954	 1,5416812897	
 2,0603352886	 2,1329057217	 1,5436697006	
 2,0803385439	 2,0532000065	 1,5460360050	
 2,1003417991	 1,9510293007	 1,5483701229	
 2,1203450543	 1,9207143784	 1,5503919125	
 2,1403483096	 1,8942856789	 1,5525281429	
 2,1603515648	 1,8087375164	 1,5545713902	
 2,1803548200	 1,7032229900	 1,5567719936	
 2,2003580752	 1,5980708599	 1,5588712692	
 2,2203613305	 1,5276229382	 1,5608894825	
 2,2403645857	 1,4783704281	 1,5631163120	
 2,2603678409	 1,4581692219	 1,5653395653	
 2,2803710962	 1,4265108109	 1,5673816204	
 2,3003743514	 1,3978195190	 1,5695071220	
 2,3203776066	 1,3953733444	 1,5716671944	
 2,3403808618	 1,3702976704	 1,5734338760	
 2,3603841171	 1,3197672367	 1,5753042698	
 2,3803873723	 1,2610495090	 1,5773069859	
 2,4003906275	 1,2396836281	 1,5791094303	
 2,4203938828	 1,2276351452	 1,5812289715	
 2,4403971380	 1,2074553967	 1,5836167336	
 2,4604003932	 1,1846458912	 1,5855276585	
 2,4804036485	 1,1373889446	 1,5875744820	
 2,5004069037	 1,0974991322	 1,5899026394	
 2,5204101589	 1,0811126232	 1,5918564796	
 2,5404134141	 1,0634958744	 1,5939629078	
 2,5604166694	 1,0396599770	 1,5961313248	
 2,5804199246	 1,0197985172	 1,5980565548	
 2,6004231798	 0,9982681274	 1,6003048420	
 2,6204264351	 0,9781908989	 1,6027462482	
 2,6404296903	 0,9761500359	 1,6046869755	
 2,6604329455	 0,9757244587	 1,6065299511	
 2,6804362007	 0,9680008888	 1,6085684299	
 2,7004394560	 0,9611117840	 1,6104984283	
 2,7204427112	 0,9530377388	 1,6124510765	
 2,7404459664	 0,9394311905	 1,6144907475	
 2,7604492217	 0,9273004532	 1,6165935993	
 2,7804524769	 0,9296154976	 1,6187345982	
 2,8004557321	 0,9280729294	 1,6208589077	
 2,8204589874	 0,9178519249	 1,6230440140	
 2,8404622426	 0,9090089798	 1,6250622272	
 2,8604654978	 0,8936691284	 1,6270470619	
 2,8804687530	 0,8737266064	 1,6293227673	
 2,9004720083	 0,8552265167	 1,6316783428	
 2,9204752635	 0,8467781544	 1,6336536407	
 2,9404785187	 0,8366608620	 1,6355812550	
 2,9604817740	 0,8172440529	 1,6376328468	
 2,9804850292	 0,7936823368	 1,6398596764	
 3,0004882844	 0,7689821720	 1,6419887543	
 3,0204915396	 0,7403743267	 1,6437375546	
 3,0404947949	 0,7120573521	 1,6456806660	
 3,0604980501	 0,6875896454	 1,6480386257	
 3,0805013053	 0,6639313698	 1,6502571106	
 3,1005045606	 0,6522309780	 1,6521871090	
 3,1205078158	 0,6470465660	 1,6542851925	
 3,1405110710	 0,6516218185	 1,6564726830	
 3,1605143263	 0,6572914124	 1,6584706306	
 3,1805175815	 0,6472313404	 1,6601920128	
 3,2005208367	 0,6395709515	 1,6620528698	
 3,2205240919	 0,6532323360	 1,6640794277	
 3,2405273472	 0,6713807583	 1,6662931442	
 3,2605306024	 0,6957900524	 1,6685938835	
 3,2805338576	 0,7354807854	 1,6706311703	
 3,3005371129	 0,7759106159	 1,6725659370	
 3,3205403681	 0,8209025860	 1,6745126247	
 3,3405436233	 0,8675825596	 1,6766011715	
 3,3605468785	 0,9288918972	 1,6786086559	
 3,3805501338	 1,0104990005	 1,6804802418	
 3,4005533890	 1,1094927788	 1,6824293137	
 3,4205566442	 1,2107849121	 1,6845226288	
 3,4405598995	 1,3117539883	 1,6866922379	
 3,4605631547	 1,4064610004	 1,6887032986	
 3,4805664099	 1,4979076385	 1,6906547546	
 3,5005696652	 1,6026818752	 1,6927325726	
