QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 0,4606747627	 1,4467179775	
 0,0200032552	 0,4589867592	 1,4467275143	
 0,0400065105	 0,4605054855	 1,4467310905	
 0,0600097657	 0,4623782635	 1,4467358589	
 0,0800130209	 0,4613733292	 1,4467287064	
 0,1000162761	 0,4622352123	 1,4467144012	
 0,1200195314	 0,4623174667	 1,4467298985	
 0,1400227866	 0,4587781429	 1,4467406273	
 0,1600260418	 0,4625248909	 1,4467227459	
 0,1800292971	 0,4671847820	 1,4467215538	
 0,2000325523	 0,4611420631	 1,4467310905	
 0,2200358075	 0,4569244385	 1,4467275143	
 0,2400390628	 0,4620814323	 1,4467179775	
 0,2600423180	 0,4634428024	 1,4467108250	
 0,2800455732	 0,4607319832	 1,4467144012	
 0,3000488284	 0,4646945000	 1,4467108250	
 0,3200520837	 0,4673433304	 1,4467144012	
 0,3400553389	 0,4664945602	 1,4467203617	
 0,3600585941	 0,4647433758	 1,4467179775	
 0,3800618494	 0,4636347294	 1,4467239380	
 0,4000651046	 0,4655432701	 1,4467120171	
 0,4200683598	 0,4690992832	 1,4467012882	
 0,4400716150	 0,4625296593	 1,4467096329	
 0,4600748703	 0,4569971561	 1,4467203617	
 0,4800781255	 0,4614078999	 1,4467227459	
 0,5000813807	 0,4608952999	 1,4467239380	
 0,5200846360	 0,4643762112	 1,4467096329	
 0,5400878912	 0,4668068886	 1,4467060566	
 0,5600911464	 0,4663395882	 1,4467215538	
 0,5800944017	 0,4717230797	 1,4467275143	
 0,6000976569	 0,4682695866	 1,4467251301	
 0,6201009121	 0,4603111744	 1,4467120171	
 0,6401041673	 0,4633963108	 1,4467108250	
 0,6601074226	 0,4646682739	 1,4467227459	
 0,6801106778	 0,4631483555	 1,4467144012	
 0,7001139330	 0,4614722729	 1,4467024803	
 0,7201171883	 0,4625260830	 1,4467036724	
 0,7401204435	 0,4682695866	 1,4467060566	
 0,7601236987	 0,4682683945	 1,4467084408	
 0,7801269539	 0,4665303230	 1,4466559887	
 0,8001302092	 0,4600179195	 1,4465510845	
 0,8201334644	 0,4349231720	 1,4478218555	
 0,8401367196	 0,3966510296	 1,4510548115	
 0,8601399749	 0,3650629520	 1,4550733566	
 0,8801432301	 0,3479278088	 1,4588582516	
 0,9001464853	 0,3446912766	 1,4624977112	
 0,9201497406	 0,3608798981	 1,4664566517	
 0,9401529958	 0,3860461712	 1,4702904224	
 0,9601562510	 0,4082071781	 1,4738547802	
 0,9801595062	 0,4349172115	 1,4777839184	
 1,0001627615	 0,4677689075	 1,4815545082	
 1,0201660167	 0,5016732216	 1,4847326279	
 1,0401692719	 0,5317902565	 1,4878153801	
 1,0601725272	 0,5599701405	 1,4912021160	
 1,0801757824	 0,5939579010	 1,4942252636	
 1,1001790376	 0,6274509430	 1,4975643158	
 1,1201822928	 0,6643390656	 1,5016233921	
 1,1401855481	 0,7084214687	 1,5045070648	
 1,1601888033	 0,7505965233	 1,5072667599	
 1,1801920585	 0,8073985577	 1,5101110935	
 1,2001953138	 0,8758330345	 1,5119016171	
 1,2201985690	 0,9682321548	 1,5144956112	
 1,2402018242	 1,0847723484	 1,5171647072	
 1,2602050795	 1,2176966667	 1,5195536613	
 1,2802083347	 1,3814270496	 1,5224480629	
 1,3002115899	 1,5398180485	 1,5248835087	
 1,3202148451	 1,6655671597	 1,5271329880	
 1,3402181004	 1,7898416519	 1,5295279026	
 1,3602213556	 1,9150900841	 1,5320479870	
 1,3802246108	 1,9953811169	 1,5340960026	
 1,4002278661	 2,0685935020	 1,5362370014	
 1,4202311213	 2,1335053444	 1,5382981300	
 1,4402343765	 2,1403849125	 1,5400040150	
 1,4602376317	 2,1452736855	 1,5419793129	
 1,4802408870	 2,1565639973	 1,5441322327	
 1,5002441422	 2,1399927139	 1,5466225147	
 1,5202473974	 2,0935833454	 1,5488290787	
 1,5402506527	 2,0311510563	 1,5507698059	
 1,5602539079	 1,9753563404	 1,5529465675	
 1,5802571631	 1,9197666645	 1,5550363064	
 1,6002604184	 1,8735980988	 1,5572583675	
 1,6202636736	 1,8133783340	 1,5593767166	
 1,6402669288	 1,7199873924	 1,5614748001	
 1,6602701840	 1,6179525852	 1,5637469292	
 1,6802734393	 1,5499103069	 1,5658557415	
 1,7002766945	 1,5073537827	 1,5679669380	
 1,7202799497	 1,4554727077	 1,5702271461	
 1,7402832050	 1,4259719849	 1,5722477436	
 1,7602864602	 1,3966083527	 1,5740120411	
 1,7802897154	 1,3451564312	 1,5759193897	
 1,8002929707	 1,3039922714	 1,5778076649	
 1,8202962259	 1,2655818462	 1,5796864033	
 1,8402994811	 1,2313163280	 1,5817451477	
 1,8603027363	 1,2057995796	 1,5840387344	
 1,8803059916	 1,1787283421	 1,5860116482	
 1,9003092468	 1,1489617825	 1,5880513191	
 1,9203125020	 1,1139011383	 1,5903067589	
 1,9403157573	 1,0779345036	 1,5922582150	
 1,9603190125	 1,0499978065	 1,5942823887	
 1,9803222677	 1,0257220268	 1,5962159634	
 2,0003255229	 0,9984469414	 1,5982460976	
 2,0203287782	 0,9734535217	 1,6007030010	
 2,0403320334	 0,9532892704	 1,6030454636	
 2,0603352886	 0,9365701675	 1,6049516201	
 2,0803385439	 0,9252464771	 1,6066908836	
 2,1003417991	 0,9189021587	 1,6086685658	
 2,1203450543	 0,9009611607	 1,6107976437	
 2,1403483096	 0,8793413639	 1,6128027439	
 2,1603515648	 0,8695673943	 1,6148531437	
 2,1803548200	 0,8703517914	 1,6169846058	
 2,2003580752	 0,8672761917	 1,6191697121	
 2,2203613305	 0,8501005173	 1,6212272644	
 2,2403645857	 0,8378636837	 1,6232991219	
 2,2603678409	 0,8367633820	 1,6253733635	
 2,2803710962	 0,8283793926	 1,6273069382	
 2,3003743514	 0,8105707169	 1,6296136379	
 2,3203776066	 0,7927227020	 1,6320121288	
 2,3403808618	 0,7780849934	 1,6339492798	
 2,3603841171	 0,7673048973	 1,6359126568	
 2,3803873723	 0,7521176338	 1,6379475594	
 2,4003906275	 0,7252109051	 1,6401624680	
 2,4203938828	 0,6963789463	 1,6422176361	
 2,4403971380	 0,6755173206	 1,6439449787	
 2,4604003932	 0,6536710262	 1,6459536552	
 2,4804036485	 0,6353914738	 1,6482448578	
 2,5004069037	 0,6135427952	 1,6504311562	
 2,5204101589	 0,5836939812	 1,6523456573	
 2,5404134141	 0,5670583248	 1,6543829441	
 2,5604166694	 0,5536556244	 1,6565418243	
 2,5804199246	 0,5444884300	 1,6585195065	
 2,6004231798	 0,5468273163	 1,6603541374	
 2,6204264351	 0,5513882637	 1,6622269154	
 2,6404296903	 0,5587351322	 1,6641306877	
 2,6604329455	 0,5736529827	 1,6662538052	
 2,6804362007	 0,5940258503	 1,6685950756	
 2,7004394560	 0,6247127056	 1,6706490517	
 2,7204427112	 0,6527745724	 1,6724944115	
 2,7404459664	 0,6771159172	 1,6743707657	
 2,7604492217	 0,7246935368	 1,6764700413	
 2,7804524769	 0,7651114464	 1,6785192490	
 2,8004557321	 0,7933557034	 1,6803419590	
 2,8204589874	 0,8423018456	 1,6822445393	
 2,8404622426	 0,9020221233	 1,6843712330	
 2,8604654978	 0,9690189362	 1,6865372658	
 2,8804687530	 1,0568416119	 1,6884946823	
 2,9004720083	 1,1625826359	 1,6904664040	
 2,9204752635	 1,2765753269	 1,6925168037	
 2,9404785187	 1,3819587231	 1,6945898533	
 2,9604817740	 1,4845550060	 1,6966843605	
 2,9804850292	 1,5827596188	 1,6987097263	
 3,0004882844	 1,6765546799	 1,7007565498	
 3,0204915396	 1,7808520794	 1,7027354240	
 3,0404947949	 1,8458783627	 1,7047083378	
 3,0604980501	 1,9194304943	 1,7069363594	
 3,0805013053	 1,9607400894	 1,7091202736	
 3,1005045606	 1,9421660900	 1,7111790180	
 3,1205078158	 1,9454979897	 1,7131602764	
 3,1405110710	 1,9596719742	 1,7151248455	
 3,1605143263	 1,9740581512	 1,7172980309	
 3,1805175815	 1,9425535202	 1,7195069790	
 3,2005208367	 1,8778872490	 1,7216098309	
 3,2205240919	 1,8184208870	 1,7236030102	
 3,2405273472	 1,7726838589	 1,7254769802	
 3,2605306024	 1,7209410667	 1,7275178432	
 3,2805338576	 1,6478204727	 1,7296934128	
 3,3005371129	 1,5817606449	 1,7317545414	
 3,3205403681	 1,5327453613	 1,7338287830	
 3,3405436233	 1,4970827103	 1,7358577251	
 3,3605468785	 1,4561331272	 1,7378771305	
 3,3805501338	 1,3900935650	 1,7399907112	
 3,4005533890	 1,3464999199	 1,7419683933	
 3,4205566442	 1,3079392910	 1,7439079285	
 3,4405598995	 1,2666344643	 1,7461466789	
 3,4605631547	 1,2418127060	 1,7484772205	
 3,4805664099	 1,2030231953	 1,7504620552	
 3,5005696652	 1,1732470989	 1,7524445057	
