QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 0,4572141171	 1,4462137222	
 0,0200032552	 0,4548537731	 1,4462161064	
 0,0400065105	 0,4561448097	 1,4462411404	
 0,0600097657	 0,4577994347	 1,4462435246	
 0,0800130209	 0,4569661617	 1,4462316036	
 0,1000162761	 0,4568231106	 1,4462268353	
 0,1200195314	 0,4558169842	 1,4462268353	
 0,1400227866	 0,4554688931	 1,4462196827	
 0,1600260418	 0,4578793049	 1,4462184906	
 0,1800292971	 0,4579794407	 1,4462208748	
 0,2000325523	 0,4550087452	 1,4462125301	
 0,2200358075	 0,4557228088	 1,4462149143	
 0,2400390628	 0,4576933384	 1,4462304115	
 0,2600423180	 0,4561698437	 1,4462304115	
 0,2800455732	 0,4524636269	 1,4462125301	
 0,3000488284	 0,4526531696	 1,4462184906	
 0,3200520837	 0,4577243328	 1,4462327957	
 0,3400553389	 0,4607021809	 1,4462244511	
 0,3600585941	 0,4603588581	 1,4462304115	
 0,3800618494	 0,4565250874	 1,4462411404	
 0,4000651046	 0,4537832737	 1,4462387562	
 0,4200683598	 0,4561436176	 1,4462351799	
 0,4400716150	 0,4564440250	 1,4462220669	
 0,4600748703	 0,4563879967	 1,4462172985	
 0,4800781255	 0,4572665691	 1,4462196827	
 0,5000813807	 0,4556417465	 1,4462375641	
 0,5200846360	 0,4565227032	 1,4462542534	
 0,5400878912	 0,4568195343	 1,4462411404	
 0,5600911464	 0,4566490650	 1,4462244511	
 0,5800944017	 0,4553878307	 1,4462172985	
 0,6000976569	 0,4555177689	 1,4462780952	
 0,6201009121	 0,4601943493	 1,4463198185	
 0,6401041673	 0,4738712311	 1,4464652538	
 0,6601074226	 0,5038475990	 1,4485383034	
 0,6801106778	 0,5476546288	 1,4523136616	
 0,7001139330	 0,5996692181	 1,4562618732	
 0,7201171883	 0,6558454037	 1,4600312710	
 0,7401204435	 0,7157504559	 1,4638054371	
 0,7601236987	 0,7786679268	 1,4677023888	
 0,7801269539	 0,8398211002	 1,4713072777	
 0,8001302092	 0,9021675587	 1,4751482010	
 0,8201334644	 0,9773206711	 1,4789795876	
 0,8401367196	 1,0565376282	 1,4824306965	
 0,8601399749	 1,1398804188	 1,4858257771	
 0,8801432301	 1,2348735332	 1,4890372753	
 0,9001464853	 1,3566589355	 1,4923691750	
 0,9201497406	 1,4990341663	 1,4956450462	
 0,9401529958	 1,6367471218	 1,4989244938	
 0,9601562510	 1,7534017563	 1,5025770664	
 0,9801595062	 1,8280816078	 1,5054452419	
 1,0001627615	 1,8332946301	 1,5077531338	
 1,0201660167	 1,7500090599	 1,5101099014	
 1,0401692719	 1,6228282452	 1,5122389793	
 1,0601725272	 1,4931321144	 1,5152275562	
 1,0801757824	 1,3341200352	 1,5184175968	
 1,1001790376	 1,1641204357	 1,5206599236	
 1,1201822928	 1,0185992718	 1,5223515034	
 1,1401855481	 0,8852875233	 1,5244412422	
 1,1601888033	 0,7552218437	 1,5268433094	
 1,1801920585	 0,6309926510	 1,5291416645	
 1,2001953138	 0,5247497559	 1,5312039852	
 1,2201985690	 0,4323172569	 1,5334534645	
 1,2402018242	 0,3465616703	 1,5360224247	
 1,2602050795	 0,2680766582	 1,5380692482	
 1,2802083347	 0,2043986320	 1,5402054787	
 1,3002115899	 0,1589143276	 1,5426218510	
 1,3202148451	 0,1243853569	 1,5447282791	
 1,3402181004	 0,0955510139	 1,5469396114	
 1,3602213556	 0,0741946697	 1,5495479107	
 1,3802246108	 0,0613963604	 1,5518164635	
 1,4002278661	 0,0538885593	 1,5539562702	
 1,4202311213	 0,0483524799	 1,5561604500	
 1,4402343765	 0,0436806679	 1,5582466125	
 1,4602376317	 0,0405609608	 1,5603291988	
 1,4802408870	 0,0385308266	 1,5626323223	
 1,5002441422	 0,0371253490	 1,5648198128	
 1,5202473974	 0,0363290310	 1,5667808056	
 1,5402506527	 0,0359022617	 1,5689170361	
 1,5602539079	 0,0355815887	 1,5711319447	
 1,5802571631	 0,0348615646	 1,5730106831	
 1,6002604184	 0,0345706940	 1,5748298168	
 1,6202636736	 0,0350832939	 1,5768063068	
 1,6402669288	 0,0358021259	 1,5786981583	
 1,6602701840	 0,0371146202	 1,5806460381	
 1,6802734393	 0,0385677814	 1,5828430653	
 1,7002766945	 0,0401449203	 1,5848422050	
 1,7202799497	 0,0423371792	 1,5869748592	
 1,7402832050	 0,0453829765	 1,5893089771	
 1,7602864602	 0,0489842892	 1,5913295746	
 1,7802897154	 0,0531566143	 1,5934741497	
 1,8002929707	 0,0586736202	 1,5954113007	
 1,8202962259	 0,0662589073	 1,5974342823	
 1,8402994811	 0,0763380527	 1,5998160839	
 1,8603027363	 0,0888371468	 1,6020882130	
 1,8803059916	 0,1039993763	 1,6042792797	
 1,9003092468	 0,1204967499	 1,6061747074	
 1,9203125020	 0,1383233070	 1,6080749035	
 1,9403157573	 0,1591587067	 1,6100621223	
 1,9603190125	 0,1817131042	 1,6120994091	
 1,9803222677	 0,2026140690	 1,6141605377	
 2,0003255229	 0,2202451229	 1,6161417961	
 2,0203287782	 0,2350306511	 1,6182255745	
 2,0403320334	 0,2463030815	 1,6204953194	
 2,0603352886	 0,2565503120	 1,6227257252	
 2,0803385439	 0,2681660652	 1,6246140003	
 2,1003417991	 0,2776646614	 1,6266822815	
 2,1203450543	 0,2860736847	 1,6287219524	
 2,1403483096	 0,2956974506	 1,6309261322	
 2,1603515648	 0,3079819679	 1,6331696510	
 2,1803548200	 0,3224289417	 1,6350841522	
 2,2003580752	 0,3321278095	 1,6370439529	
 2,2203613305	 0,3449356556	 1,6391229630	
 2,2403645857	 0,3678750992	 1,6412127018	
 2,2603678409	 0,3902399540	 1,6431272030	
 2,2803710962	 0,3999972343	 1,6451430321	
 2,3003743514	 0,4103779793	 1,6473615170	
 2,3203776066	 0,4304778576	 1,6495501995	
 2,3403808618	 0,4535889626	 1,6515934467	
 2,3603841171	 0,4775142670	 1,6535854340	
 2,3803873723	 0,5028331280	 1,6557383537	
 2,4003906275	 0,5318677425	 1,6577684879	
 2,4203938828	 0,5569481850	 1,6595149040	
 2,4403971380	 0,5812239647	 1,6614043713	
 2,4604003932	 0,6123459339	 1,6633999348	
 2,4804036485	 0,6362628937	 1,6655063629	
 2,5004069037	 0,6565856934	 1,6678762436	
 2,5204101589	 0,6902790070	 1,6700994968	
 2,5404134141	 0,7223713398	 1,6720676422	
 2,5604166694	 0,7494568825	 1,6738295555	
 2,5804199246	 0,7844793797	 1,6756951809	
 2,6004231798	 0,8144247532	 1,6778910160	
 2,6204264351	 0,8376002312	 1,6797173023	
 2,6404296903	 0,8663451672	 1,6815149784	
 2,6604329455	 0,9033524990	 1,6835319996	
 2,6804362007	 0,9314930439	 1,6856062412	
 2,7004394560	 0,9607124329	 1,6877055168	
 2,7204427112	 0,9997868538	 1,6896903515	
 2,7404459664	 1,0372781754	 1,6916370392	
 2,7604492217	 1,0754525661	 1,6936504841	
 2,7804524769	 1,1220908165	 1,6957402229	
 2,8004557321	 1,1699020863	 1,6978824139	
 2,8204589874	 1,2244164944	 1,6999280453	
 2,8404622426	 1,3041639328	 1,7018282413	
 2,8604654978	 1,3971066475	 1,7039382458	
 2,8804687530	 1,4780688286	 1,7061197758	
 2,9004720083	 1,5630733967	 1,7082476616	
 2,9204752635	 1,6419208050	 1,7102611065	
 2,9404785187	 1,6854512691	 1,7122519016	
 2,9604817740	 1,7006134987	 1,7143523693	
 2,9804850292	 1,6795134544	 1,7164015770	
 3,0004882844	 1,6259074211	 1,7185139656	
 3,0204915396	 1,5452110767	 1,7205762863	
 3,0404947949	 1,4405417442	 1,7226564884	
 3,0604980501	 1,3346052170	 1,7247331142	
 3,0805013053	 1,2337923050	 1,7267155647	
 3,1005045606	 1,1144769192	 1,7288339138	
 3,1205078158	 1,0137784481	 1,7309594154	
 3,1405110710	 0,9158670902	 1,7329990864	
 3,1605143263	 0,7811248302	 1,7351305485	
 3,1805175815	 0,6527340412	 1,7372691631	
 3,2005208367	 0,5391824245	 1,7393720150	
 3,2205240919	 0,4392826557	 1,7415511608	
 3,2405273472	 0,3549063206	 1,7433965206	
 3,2605306024	 0,2801239491	 1,7454695702	
 3,2805338576	 0,2219939232	 1,7478954792	
 3,3005371129	 0,1683270931	 1,7498970032	
 3,3205403681	 0,1228249073	 1,7519104481	
 3,3405436233	 0,0913286209	 1,7539966106	
 3,3605468785	 0,0673425198	 1,7561101913	
 3,3805501338	 0,0526320934	 1,7582547665	
 3,4005533890	 0,0439822674	 1,7605197430	
 3,4205566442	 0,0389051437	 1,7625987530	
 3,4405598995	 0,0373148918	 1,7646753788	
 3,4605631547	 0,0368726254	 1,7668509483	
 3,4805664099	 0,0381898880	 1,7689061165	
 3,5005696652	 0,0411272049	 1,7710602283	
