QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 0,1712369919	 1,4464652538	
 0,0200032552	 0,1710271835	 1,4464616776	
 0,0400065105	 0,1733207703	 1,4464628696	
 0,0600097657	 0,1731455326	 1,4464712143	
 0,0800130209	 0,1724505424	 1,4464724064	
 0,1000162761	 0,1718914509	 1,4464700222	
 0,1200195314	 0,1698863506	 1,4464592934	
 0,1400227866	 0,1685917377	 1,4464497566	
 0,1600260418	 0,1703095436	 1,4464521408	
 0,1800292971	 0,1689219475	 1,4464521408	
 0,2000325523	 0,1686239243	 1,4464485645	
 0,2200358075	 0,1703691483	 1,4464724064	
 0,2400390628	 0,1698911190	 1,4464724064	
 0,2600423180	 0,1688075066	 1,4464545250	
 0,2800455732	 0,1697075367	 1,4464688301	
 0,3000488284	 0,1713740826	 1,4464676380	
 0,3200520837	 0,1714360714	 1,4464640617	
 0,3400553389	 0,1695728302	 1,4464747906	
 0,3600585941	 0,1685261726	 1,4464700222	
 0,3800618494	 0,1699984074	 1,4464652538	
 0,4000651046	 0,1703989506	 1,4464688301	
 0,4200683598	 0,1706576347	 1,4464771748	
 0,4400716150	 0,1716232300	 1,4464724064	
 0,4600748703	 0,1714169979	 1,4464581013	
 0,4800781255	 0,1710629463	 1,4464640617	
 0,5000813807	 0,1699829102	 1,4464628696	
 0,5200846360	 0,1704168320	 1,4464509487	
 0,5400878912	 0,1713180542	 1,4464509487	
 0,5600911464	 0,1706433296	 1,4464569092	
 0,5800944017	 0,1707077026	 1,4464521408	
 0,6000976569	 0,1715326309	 1,4464461803	
 0,6201009121	 0,1724433899	 1,4465820789	
 0,6401041673	 0,1795363426	 1,4464771748	
 0,6601074226	 0,2040421963	 1,4473032951	
 0,6801106778	 0,2457141876	 1,4502465725	
 0,7001139330	 0,3014743328	 1,4541482925	
 0,7201171883	 0,3616666794	 1,4581012726	
 0,7401204435	 0,4183363914	 1,4619565010	
 0,7601236987	 0,4792070389	 1,4658570290	
 0,7801269539	 0,5414330959	 1,4696228504	
 0,8001302092	 0,5956554413	 1,4729118347	
 0,8201334644	 0,6450664997	 1,4769124985	
 0,8401367196	 0,6968843937	 1,4809131622	
 0,8601399749	 0,7448124886	 1,4840221405	
 0,8801432301	 0,7851719856	 1,4871132374	
 0,9001464853	 0,8234274387	 1,4903450012	
 0,9201497406	 0,8481764793	 1,4935672283	
 0,9401529958	 0,8688402176	 1,4970397949	
 0,9601562510	 0,8849871159	 1,5006411076	
 0,9801595062	 0,8853113651	 1,5033769608	
 1,0001627615	 0,8855855465	 1,5060567856	
 1,0201660167	 0,8862960339	 1,5087747574	
 1,0401692719	 0,8721232414	 1,5108489990	
 1,0601725272	 0,8539021015	 1,5136551857	
 1,0801757824	 0,8526206017	 1,5169215202	
 1,1001790376	 0,8515882492	 1,5195703506	
 1,1201822928	 0,8443546295	 1,5223097801	
 1,1401855481	 0,8401250839	 1,5247094631	
 1,1601888033	 0,8354699612	 1,5268611908	
 1,1801920585	 0,8284997940	 1,5293633938	
 1,2001953138	 0,8230304718	 1,5315699577	
 1,2201985690	 0,8116054535	 1,5335476398	
 1,2402018242	 0,8009874821	 1,5358448029	
 1,2602050795	 0,7967495918	 1,5377354622	
 1,2802083347	 0,7908260822	 1,5394306183	
 1,3002115899	 0,7782709599	 1,5417313576	
 1,3202148451	 0,7624232769	 1,5439951420	
 1,3402181004	 0,7573091984	 1,5460753441	
 1,3602213556	 0,7514262199	 1,5481615067	
 1,3802246108	 0,7325005531	 1,5504205227	
 1,4002278661	 0,7183849812	 1,5527844429	
 1,4202311213	 0,7084846497	 1,5549755096	
 1,4402343765	 0,6973946095	 1,5571331978	
 1,4602376317	 0,6879937649	 1,5592241287	
 1,4802408870	 0,6723451614	 1,5613543987	
 1,5002441422	 0,6581246853	 1,5636849403	
 1,5202473974	 0,6438016891	 1,5658795834	
 1,5402506527	 0,6281769276	 1,5678596497	
 1,5602539079	 0,6137490273	 1,5700757504	
 1,5802571631	 0,5963718891	 1,5721797943	
 1,6002604184	 0,5760300159	 1,5738940239	
 1,6202636736	 0,5592846870	 1,5758395195	
 1,6402669288	 0,5472183228	 1,5778291225	
 1,6602701840	 0,5305373669	 1,5797901154	
 1,6802734393	 0,5130434036	 1,5818440914	
 1,7002766945	 0,4983055592	 1,5839934349	
 1,7202799497	 0,4803979397	 1,5860784054	
 1,7402832050	 0,4652822018	 1,5884196758	
 1,7602864602	 0,4544091225	 1,5906774998	
 1,7802897154	 0,4393494129	 1,5926313400	
 1,8002929707	 0,4207086563	 1,5947806835	
 1,8202962259	 0,4041266441	 1,5967559814	
 1,8402994811	 0,3939008713	 1,5988373756	
 1,8603027363	 0,3894436359	 1,6012966633	
 1,8803059916	 0,3871202469	 1,6035759449	
 1,9003092468	 0,3875994682	 1,6054105759	
 1,9203125020	 0,3891313076	 1,6072380543	
 1,9403157573	 0,3940880299	 1,6090929508	
 1,9603190125	 0,4048037529	 1,6110920906	
 1,9803222677	 0,4136085510	 1,6132795811	
 2,0003255229	 0,4222559929	 1,6153454781	
 2,0203287782	 0,4304921627	 1,6174042225	
 2,0403320334	 0,4329288006	 1,6196596622	
 2,0603352886	 0,4410135746	 1,6217958927	
 2,0803385439	 0,4465985298	 1,6238534451	
 2,1003417991	 0,4502153397	 1,6259622574	
 2,1203450543	 0,4572772980	 1,6277265549	
 2,1403483096	 0,4657030106	 1,6300368309	
 2,1603515648	 0,4774010181	 1,6326260567	
 2,1803548200	 0,4853856564	 1,6344213486	
 2,2003580752	 0,4999613762	 1,6363811493	
 2,2203613305	 0,5236053467	 1,6384518147	
 2,2403645857	 0,5480515957	 1,6405546665	
 2,2603678409	 0,5680906773	 1,6425681114	
 2,2803710962	 0,5925822258	 1,6444098949	
 2,3003743514	 0,6230854988	 1,6465187073	
 2,3203776066	 0,6454193592	 1,6487705708	
 2,3403808618	 0,6692194939	 1,6509270668	
 2,3603841171	 0,6990480423	 1,6527867317	
 2,3803873723	 0,7224977016	 1,6549146175	
 2,4003906275	 0,7372415066	 1,6570603848	
 2,4203938828	 0,7529509068	 1,6589486599	
 2,4403971380	 0,7720935345	 1,6608655453	
 2,4604003932	 0,7928025723	 1,6628181934	
 2,4804036485	 0,8107697964	 1,6649365425	
 2,5004069037	 0,8133542538	 1,6672503948	
 2,5204101589	 0,8131742477	 1,6695439816	
 2,5404134141	 0,8132410049	 1,6715967655	
 2,5604166694	 0,8067977428	 1,6733455658	
 2,5804199246	 0,8008456230	 1,6752624512	
 2,6004231798	 0,8011591434	 1,6774487495	
 2,6204264351	 0,8014130592	 1,6793715954	
 2,6404296903	 0,7944786549	 1,6812610626	
 2,6604329455	 0,7862412930	 1,6832077503	
 2,6804362007	 0,7827556133	 1,6853296757	
 2,7004394560	 0,7808685303	 1,6875684261	
 2,7204427112	 0,7760524750	 1,6896665096	
 2,7404459664	 0,7706534863	 1,6916286945	
 2,7604492217	 0,7653260231	 1,6935801506	
 2,7804524769	 0,7564961910	 1,6956770420	
 2,8004557321	 0,7480275631	 1,6979134083	
 2,8204589874	 0,7398736477	 1,7000007629	
 2,8404622426	 0,7300949097	 1,7019259930	
 2,8604654978	 0,7228517532	 1,7039632797	
 2,8804687530	 0,7187533379	 1,7060732841	
 2,9004720083	 0,7132267952	 1,7082822323	
 2,9204752635	 0,7040429115	 1,7103517056	
 2,9404785187	 0,6946206093	 1,7123568058	
 2,9604817740	 0,6858468056	 1,7144179344	
 2,9804850292	 0,6779038906	 1,7164969444	
 3,0004882844	 0,6695079803	 1,7186987400	
 3,0204915396	 0,6599223614	 1,7207992077	
 3,0404947949	 0,6480622292	 1,7228710651	
 3,0604980501	 0,6367158890	 1,7249262333	
 3,0805013053	 0,6258356571	 1,7269015312	
 3,1005045606	 0,6123101711	 1,7290198803	
 3,1205078158	 0,6007897854	 1,7311918736	
 3,1405110710	 0,5919611454	 1,7332768440	
 3,1605143263	 0,5801260471	 1,7354035378	
 3,1805175815	 0,5652713776	 1,7375481129	
 3,2005208367	 0,5526793003	 1,7396306992	
 3,2205240919	 0,5436241627	 1,7416977882	
 3,2405273472	 0,5328404903	 1,7436480522	
 3,2605306024	 0,5141019821	 1,7459106445	
 3,2805338576	 0,5025041103	 1,7482876778	
 3,3005371129	 0,4974699020	 1,7501890659	
 3,3205403681	 0,4895579815	 1,7522346973	
 3,3405436233	 0,4910075665	 1,7543733120	
 3,3605468785	 0,4937624931	 1,7564165592	
 3,3805501338	 0,4982721806	 1,7585194111	
 3,4005533890	 0,5092823505	 1,7607474327	
 3,4205566442	 0,5204892159	 1,7628836632	
 3,4405598995	 0,5265724659	 1,7649734020	
 3,4605631547	 0,5355131626	 1,7672061920	
 3,4805664099	 0,5534875393	 1,7693805695	
 3,5005696652	 0,5723786354	 1,7714905739	
