HF Frequency / MHz,HF Preselect / Skt,HF Voltage / mV,Cup3 Current / muA,ST1 Current / nA,TransEff,TransEffProcent
22.9577,751,37.6,22.5,700,0.0311,3.11
22.9577,950,48,24,200,0.0083,0.83
22.9577,900,45.4,24,360,15,1.5
22.9577,875,44.1,24,450,0.0188,1.88
22.9577,850,42.8,24,710,0.0296,2.96
22.9577,825,41.5,24,800,0.0333,3.33
22.9577,800,40.2,24,290,0.0121,1.21
22.9577,775,38.9,24,250,0.0104,1.04
22.9577,757,38,24,550,0.0229,2.29
22.9577,754,37.8,24,440,0.0183,1.83
22.9577,752,37.7,24,540,0.0225,2.25
22.9577,749,37.6,24,390,0.0163,1.63
22.9577,744,37.3,24,640,0.0267,2.67
22.9577,741,37.2,24,350,0.0146,1.46
22.9577,731,36.7,24,540,0.0225,2.25
22.9577,727,36.4,23.5,275,0.0117,1.17
22.9577,665,33.2,24,10,0.0004,0.04
22.9487,755,37.9,24,60,0.0025,0.25
22.9487,725,36.4,24,5,0.0002,0.02
22.9487,775,38.9,24,70,0.0029,0.29
22.9487,800,40.2,24,70,0.0029,0.29
22.9487,825,41.5,24,95,4,0.4
22.9487,850,42.8,24,170,0.0071,0.71
22.9487,875,44.2,24,200,0.0083,0.83
22.9487,900,45.4,24,200,0.0083,0.83
22.9487,925,46.8,24,175,0.0073,0.73
22.9487,950,48,24,120,5,0.5
22.9497,755,37.9,24,270,0.0113,1.13
22.9497,725,36.3,23.75,45,0.0019,0.19
22.9497,700,35,24,15,0.0006,0.06
22.9497,775,38.9,24,300,0.0125,1.25
22.9497,800,40.2,24.25,300,0.0124,1.24
22.9497,825,41.5,24,340,0.0142,1.42
22.9497,850,42.8,24,415,0.0173,1.73
22.9497,875,44.1,24.25,375,0.0155,1.55
22.9497,900,45.5,24,275,0.0115,1.15
22.9517,755,37.9,24.5,550,0.0224,2.24
22.9517,725,36.4,24.25,160,0.0066,0.66
22.9517,700,35,24,57,0.0024,0.24
22.9517,775,38.9,24.25,675,0.0278,2.78
22.9517,800,40.2,24.5,750,0.0306,3.06
22.9517,825,41.6,24.5,800,0.0327,3.27
22.9517,850,42.9,24.5,775,0.0316,3.16
22.9517,875,44.2,24,500,0.0208,2.08
22.9517,900,45.5,24.5,280,0.0114,1.14
22.9517,825,41.6,24.5,850,0.0347,3.47
22.9527,755,37.9,24,525,0.0219,2.19
22.9527,725,36.4,24,225,0.0094,0.94
22.9527,700,35,24.5,55,0.0022,0.22
22.9527,775,38.9,24,675,0.0281,2.81
22.9527,800,40.2,24.25,760,0.0313,3.13
22.9527,825,41.6,24.25,900,0.0371,3.71
22.9527,850,42.9,24,750,0.0313,3.13
22.9527,875,44.2,24.5,500,0.0204,2.04
22.9527,900,45.5,24.5,275,0.0112,1.12
22.9527,925,46.8,24,150,0.0063,0.63
22.9527,825,41.6,24.25,900,0.0371,3.71
22.9537,755,38,24,600,25,2.5
22.9537,725,36.4,24.5,240,0.0098,0.98
22.9537,700,35,24,65,0.0027,0.27
22.9537,775,39,24,675,0.0281,2.81
22.9537,800,40.2,24.5,850,0.0347,3.47
22.9537,825,41.6,24.5,875,0.0357,3.57
22.9537,850,42.9,24,775,0.0323,3.23
22.9537,875,44.2,24.5,500,0.0204,2.04
22.9537,900,45.5,24.5,280,0.0114,1.14
22.9537,815,41,24.25,925,0.0381,3.81
22.9547,755,38,24,475,0.0198,1.98
22.9547,725,36.4,24.5,250,0.0102,1.02
22.9547,700,35,24,67,0.0028,0.28
22.9547,775,39,24.5,650,0.0265,2.65
22.9547,800,40.3,24,750,0.0313,3.13
22.9547,825,41.6,24,750,0.0313,3.13
22.9547,850,42.9,24.25,625,0.0258,2.58
22.9547,875,44.2,24,500,0.0208,2.08
22.9547,900,45.5,24.5,350,0.0143,1.43
22.9547,815,41,24.25,775,32,3.2
22.9557,755,38,24,550,0.0229,2.29
22.9557,725,36.4,24,280,0.0117,1.17
22.9557,700,35,24,80,0.0033,0.33
22.9557,775,39,24.5,725,0.0296,2.96
22.9557,800,40.3,24,600,25,2.5
22.9557,825,41.6,24.5,615,0.0251,2.51
22.9557,850,42.9,24.25,700,0.0289,2.89
22.9557,875,44.2,24.25,550,0.0227,2.27
22.9557,900,45.5,24.5,360,0.0147,1.47
22.9557,773,38.8,24.5,725,0.0296,2.96
22.9557,855,43.2,24.25,725,0.0299,2.99
22.9567,755,38,24.25,600,0.0247,2.47
22.9567,752,37.8,24.5,500,0.0204,2.04
22.9567,747,37.5,24,600,25,2.5
22.9567,740,37.2,24.5,450,0.0184,1.84
22.9567,725,36.4,24.5,250,0.0102,1.02
22.9567,700,35.1,24.5,100,0.0041,0.41
22.9567,762,38.3,24.5,625,0.0255,2.55
22.9567,775,39,24,500,0.0208,2.08
22.9567,800,40.3,24.5,325,0.0133,1.33
22.9567,843,42.5,24.5,800,0.0327,3.27
22.9567,900,45.5,24.5,400,0.0163,1.63
22.9567,747,37.5,24.5,650,0.0265,2.65
22.9567,845,42.7,24,825,0.0344,3.44
22.9587,700,35.1,24.5,75,0.0031,0.31
22.9587,723,36.3,24.5,450,0.0184,1.84
22.9587,726,36.4,24.5,320,0.0131,1.31
22.9587,730,36.7,24.5,600,0.0245,2.45
