DT9824(00).Ain 0(X)	DT9824(00).Ain 0(Y)	DT9824(00).Ain 1(X)	DT9824(00).Ain 1(Y)
0	0,995758771896362	0	1,44668340682983
1	0,996737480163574	1	1,44667863845825
2	0,996378660202026	2	1,44668936729431
3	0,996041297912598	3	1,4466917514801
4	0,996366739273071	4	1,44668579101563
5	0,996066331863403	5	1,44668698310852
6	0,995529890060425	6	1,44668221473694
7	0,994701385498047	7	1,44668459892273
8	0,994729995727539	8	1,44668579101563
9	0,995221138000488	9	1,44668698310852
10	0,994594097137451	10	1,44668579101563
11	0,994524955749512	11	1,44668340682983
12	0,993736982345581	12	1,446692943573
13	0,994201898574829	13	1,44668936729431
14	0,99361777305603	14	1,44667387008667
15	0,992681980133057	15	1,44668340682983
16	0,994294881820679	16	1,44669413566589
17	0,994213819503784	17	1,44668936729431
18	0,993466377258301	18	1,44668459892273
19	0,992392301559448	19	1,44668221473694
20	0,990254878997803	20	1,44669055938721
21	0,988985300064087	21	1,44669532775879
22	0,990152359008789	22	1,44669055938721
23	0,98791241645813	23	1,44668459892273
24	0,985482931137085	24	1,44668221473694
25	0,987435579299927	25	1,44667983055115
26	0,988646745681763	26	1,44668817520142
27	0,99004864692688	27	1,44669651985168
28	0,990614891052246	28	1,44668579101563
29	0,990147590637207	29	1,44667625427246
30	0,989487171173096	30	1,44667625427246
31	0,987499952316284	31	1,44668221473694
32	0,986382961273193	32	1,44667863845825
33	0,987184047698975	33	1,44668221473694
34	0,986613035202026	34	1,44668459892273
35	0,985844135284424	35	1,44667983055115
36	0,985265970230103	36	1,44667267799377
37	0,985742807388306	37	1,44666433334351
38	0,986820459365845	38	1,44666790962219
39	0,98522424697876	39	1,44667029380798
40	0,985921621322632	40	1,44668340682983
41	0,985842943191528	41	1,44670248031616
42	0,983842611312866	42	1,44669532775879
43	0,985102653503418	43	1,44668102264404
44	0,985685586929321	44	1,44668102264404
45	0,984388589859009	45	1,44667506217957
46	0,985332727432251	46	1,44667625427246
47	0,984859466552734	47	1,44667029380798
48	0,982751846313477	48	1,44666790962219
49	0,982632637023926	49	1,44667387008667
50	0,982720851898193	50	1,44665956497192
51	0,982486009597778	51	1,44665598869324
52	0,981006622314453	52	1,4466655254364
53	0,980638265609741	53	1,44666194915771
54	0,980987548828125	54	1,44666910171509
55	0,978726148605347	55	1,44667625427246
56	0,978649854660034	56	1,44667029380798
57	0,978051424026489	57	1,44667506217957
58	0,978701114654541	58	1,44668698310852
59	0,980769395828247	59	1,44668340682983
60	0,980250835418701	60	1,44666314125061
61	0,979547500610352	61	1,44665956497192
62	0,978431701660156	62	1,4466655254364
63	0,975168943405151	63	1,44666433334351
64	0,974134206771851	64	1,44666314125061
65	0,977112054824829	65	1,44665837287903
66	0,978020429611206	66	1,44666075706482
67	0,975496768951416	67	1,44667267799377
68	0,973221063613892	68	1,44667863845825
69	0,970207452774048	69	1,44667267799377
70	0,968254804611206	70	1,44667148590088
71	0,969034433364868	71	1,44668340682983
72	0,969970226287842	72	1,44667506217957
73	0,972306728363037	73	1,4466655254364
74	0,968728065490723	74	1,44666433334351
75	0,961660146713257	75	1,44666910171509
76	0,965553522109985	76	1,4466667175293
77	0,971890687942505	77	1,4466667175293
78	0,964126586914063	78	1,44666790962219
79	0,959336757659912	79	1,44665598869324
80	0,96490740776062	80	1,44665479660034
81	0,961663722991943	81	1,44666314125061
82	0,955084562301636	82	1,44666075706482
83	0,950087308883667	83	1,44665241241455
84	0,947353839874268	84	1,44665241241455
85	0,956745147705078	85	1,44666075706482
86	0,957881212234497	86	1,44666075706482
87	0,948220491409302	87	1,44666075706482
88	0,946321487426758	88	1,44666910171509
89	0,942165851593018	89	1,44665956497192
90	0,942304134368896	90	1,44665479660034
91	0,947152376174927	91	1,44665360450745
92	0,946791172027588	92	1,44665002822876
93	0,946053266525269	93	1,44665360450745
94	0,945574045181274	94	1,44665122032166
95	0,945851802825928	95	1,44653558731079
96	0,965135097503662	96	1,44658327102661
97	1,01918458938599	97	1,44802927970886
98	1,09407782554626	98	1,45119428634644
99	1,18837237358093	99	1,45522713661194
100	1,30367159843445	100	1,45912170410156
101	1,44354224205017	101	1,46279573440552
102	1,62734031677246	102	1,46632432937622
103	1,86629056930542	103	1,46978378295898
104	2,1388578414917	104	1,47333025932312
105	2,35263228416443	105	1,47733926773071
106	2,4394154548645	106	1,4810848236084
107	2,38409757614136	107	1,48419857025146
108	2,20134377479553	108	1,48711323738098
109	1,95324659347534	109	1,49007558822632
110	1,72131538391113	110	1,49303555488586
111	1,51836037635803	111	1,49603247642517
112	1,33856058120728	112	1,49989128112793
113	1,19187593460083	113	1,50366544723511
114	1,0603654384613	114	1,50582909584045
115	0,945358276367188	115	1,50853753089905
116	0,842897891998291	116	1,51147603988647
117	0,743411779403687	117	1,5129017829895
118	0,65446138381958	118	1,5153443813324
119	0,574429035186768	119	1,51759386062622
120	0,497583150863647	120	1,51917695999146
121	0,430891513824463	121	1,52143239974976
122	0,371537208557129	122	1,52417421340942
123	0,320682525634766	123	1,52686834335327
124	0,277096033096313	124	1,52921438217163
125	0,24091362953186	125	1,53119325637817
126	0,212175846099854	126	1,53314113616943
127	0,189019441604614	127	1,53551578521729
128	0,171651840209961	128	1,53766274452209
129	0,1579749584198	129	1,53952360153198
130	0,147126913070679	130	1,54146671295166
131	0,138779878616333	131	1,54346466064453
132	0,131860971450806	132	1,54550433158875
133	0,126700401306152	133	1,54772043228149
134	0,123775005340576	134	1,54983282089233
135	0,122442245483398	135	1,55177235603333
136	0,121971368789673	136	1,55384421348572
137	0,122925043106079	137	1,55590295791626
138	0,124962329864502	138	1,55793309211731
139	0,127856731414795	139	1,56009554862976
140	0,131601095199585	140	1,56229615211487
141	0,135258436203003	141	1,56451940536499
142	0,139192342758179	142	1,5664005279541
143	0,143616199493408	143	1,56824350357056
144	0,148717164993286	144	1,57047629356384
145	0,154094696044922	145	1,57259345054626
146	0,159784555435181	146	1,57423257827759
147	0,166692733764648	147	1,57599806785583
148	0,174660682678223	148	1,57801747322083
149	0,184038877487183	149	1,58003330230713
150	0,195446014404297	150	1,58218026161194
151	0,209232568740845	151	1,58427000045776
152	0,224927663803101	152	1,58624291419983
153	0,243140459060669	153	1,58831596374512
154	0,265552997589111	154	1,59034252166748
155	0,290871858596802	155	1,59224987030029
156	0,316207408905029	156	1,59435987472534
157	0,342668294906616	157	1,5964663028717
158	0,370059013366699	158	1,59850835800171
159	0,394983291625977	159	1,60058498382568
160	0,417401790618896	160	1,60271048545837
161	0,437829494476318	161	1,60475492477417
162	0,455499887466431	162	1,60685181617737
163	0,47113299369812	163	1,6088604927063
164	0,487320423126221	164	1,61062359809875
165	0,50520658493042	165	1,61254525184631
166	0,523804426193237	166	1,6144871711731
167	0,542840957641602	167	1,61646723747253
168	0,562875270843506	168	1,61850929260254
169	0,582602024078369	169	1,62051677703857
170	0,60072660446167	170	1,62249565124512
171	0,622422695159912	171	1,6244649887085
172	0,644007921218872	172	1,62663340568542
173	0,664622783660889	173	1,62886142730713
174	0,686725378036499	174	1,63116335868835
175	0,709761381149292	175	1,63313269615173
176	0,73502779006958	176	1,63485288619995
177	0,761423110961914	177	1,63682699203491
178	0,789742469787598	178	1,63886666297913
179	0,817856788635254	179	1,6409707069397
180	0,84714412689209	180	1,64278507232666
181	0,876895189285278	181	1,64446353912354
182	0,907617807388306	182	1,64643168449402
183	0,941296815872192	183	1,64850831031799
184	0,978312492370605	184	1,65055394172668
185	1,01422548294067	185	1,65247082710266
186	1,05310559272766	186	1,65455222129822
187	1,09607219696045	187	1,65671229362488
188	1,14138603210449	188	1,65854215621948
189	1,18866801261902	189	1,66038632392883
190	1,23388528823853	190	1,6622006893158
191	1,28851413726807	191	1,66403293609619
192	1,34872913360596	192	1,66608810424805
193	1,41390681266785	193	1,66827917098999
194	1,489497423172	194	1,6703724861145
195	1,57577753067017	195	1,67218089103699
196	1,68100953102112	196	1,67404532432556
197	1,79944157600403	197	1,67613387107849
198	1,92356824874878	198	1,67816758155823
199	2,03908920288086	199	1,67993426322937
200	2,14051604270935	200	1,68177485466003
201	2,21913933753967	201	1,68388724327087
202	2,25674390792847	202	1,68609023094177
203	2,25108623504639	203	1,68815612792969
204	2,20229029655457	204	1,69003367424011
205	2,11950421333313	205	1,69195890426636
