QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 1,1599016190	 1,4453327656	
 0,0200032552	 1,1595869064	 1,4453196526	
 0,0400065105	 1,1603975296	 1,4453184605	
 0,0600097657	 1,1615777016	 1,4453315735	
 0,0800130209	 1,1594736576	 1,4453315735	
 0,1000162761	 1,1574399471	 1,4453244209	
 0,1200195314	 1,1590933800	 1,4453291893	
 0,1400227866	 1,1588478088	 1,4453387260	
 0,1600260418	 1,1592972279	 1,4453327656	
 0,1800292971	 1,1615371704	 1,4453220367	
 0,2000325523	 1,1603462696	 1,4453256130	
 0,2200358075	 1,1581528187	 1,4453303814	
 0,2400390628	 1,1592769623	 1,4453196526	
 0,2600423180	 1,1603200436	 1,4453101158	
 0,2800455732	 1,1598432064	 1,4453268051	
 0,3000488284	 1,1601054668	 1,4453303814	
 0,3200520837	 1,1609375477	 1,4453244209	
 0,3400553389	 1,1600542068	 1,4453411102	
 0,3600585941	 1,1580705643	 1,4453291893	
 0,3800618494	 1,1603772640	 1,4453113079	
 0,4000651046	 1,1627554893	 1,4453244209	
 0,4200683598	 1,1614990234	 1,4453268051	
 0,4400716150	 1,1624586582	 1,4453303814	
 0,4600748703	 1,1634051800	 1,4453327656	
 0,4800781255	 1,1633515358	 1,4453303814	
 0,5000813807	 1,1637973785	 1,4453220367	
 0,5200846360	 1,1662626266	 1,4453136921	
 0,5400878912	 1,1658751965	 1,4453077316	
 0,5600911464	 1,1655080318	 1,4453136921	
 0,5800944017	 1,1674606800	 1,4453196526	
 0,6000976569	 1,1677801609	 1,4453184605	
 0,6201009121	 1,1667668819	 1,4453184605	
 0,6401041673	 1,1672782898	 1,4453041553	
 0,6601074226	 1,1701774597	 1,4453029633	
 0,6801106778	 1,1701679230	 1,4453077316	
 0,7001139330	 1,1685931683	 1,4453065395	
 0,7201171883	 1,1678969860	 1,4453136921	
 0,7401204435	 1,1674046516	 1,4453184605	
 0,7601236987	 1,1686491966	 1,4453148842	
 0,7801269539	 1,1680233479	 1,4453220367	
 0,8001302092	 1,1684441566	 1,4453208447	
 0,8201334644	 1,1695504189	 1,4453136921	
 0,8401367196	 1,1700570583	 1,4453125000	
 0,8601399749	 1,1709415913	 1,4453148842	
 0,8801432301	 1,1676335335	 1,4453113079	
 0,9001464853	 1,1666321754	 1,4453208447	
 0,9201497406	 1,1696815491	 1,4453256130	
 0,9401529958	 1,1703586578	 1,4453125000	
 0,9601562510	 1,1693513393	 1,4453113079	
 0,9801595062	 1,1685931683	 1,4453184605	
 1,0001627615	 1,1695158482	 1,4453208447	
 1,0201660167	 1,1690664291	 1,4453113079	
 1,0401692719	 1,1703968048	 1,4453077316	
 1,0601725272	 1,1725580692	 1,4453136921	
 1,0801757824	 1,1710023880	 1,4453244209	
 1,1001790376	 1,1708760262	 1,4453256130	
 1,1201822928	 1,1731445789	 1,4453148842	
 1,1401855481	 1,1714804173	 1,4453041553	
 1,1601888033	 1,1692214012	 1,4452981949	
 1,1801920585	 1,1711943150	 1,4453005791	
 1,2001953138	 1,1719131470	 1,4453101158	
 1,2201985690	 1,1731505394	 1,4453017712	
 1,2402018242	 1,1746704578	 1,4452922344	
 1,2602050795	 1,1728560925	 1,4453029633	
 1,2802083347	 1,1706101894	 1,4453077316	
 1,3002115899	 1,1698961258	 1,4453005791	
 1,3202148451	 1,1719059944	 1,4453065395	
 1,3402181004	 1,1721050739	 1,4453208447	
 1,3602213556	 1,1689746380	 1,4453113079	
 1,3802246108	 1,1674749851	 1,4453077316	
 1,4002278661	 1,1699712276	 1,4453065395	
 1,4202311213	 1,1722826958	 1,4452946186	
 1,4402343765	 1,1726784706	 1,4452874660	
 1,4602376317	 1,1727952957	 1,4452934265	
 1,4802408870	 1,1721158028	 1,4453113079	
 1,5002441422	 1,1712789536	 1,4453077316	
 1,5202473974	 1,1703646183	 1,4452970028	
 1,5402506527	 1,1709046364	 1,4452981949	
 1,5602539079	 1,1714100838	 1,4453017712	
 1,5802571631	 1,1707139015	 1,4453065395	
 1,6002604184	 1,1700129509	 1,4453017712	
 1,6202636736	 1,1710536480	 1,4452981949	
 1,6402669288	 1,1712503433	 1,4452958107	
 1,6602701840	 1,1707961559	 1,4452970028	
 1,6802734393	 1,1709713936	 1,4453029633	
 1,7002766945	 1,1710369587	 1,4453017712	
 1,7202799497	 1,1703634262	 1,4452946186	
 1,7402832050	 1,1699748039	 1,4452898502	
 1,7602864602	 1,1698651314	 1,4453017712	
 1,7802897154	 1,1716616154	 1,4452934265	
 1,8002929707	 1,1722767353	 1,4452886581	
 1,8202962259	 1,1701464653	 1,4452946186	
 1,8402994811	 1,1691272259	 1,4452946186	
 1,8603027363	 1,1682093143	 1,4452958107	
 1,8803059916	 1,1682724953	 1,4453005791	
 1,9003092468	 1,1684763432	 1,4452993870	
 1,9203125020	 1,1682951450	 1,4452838898	
 1,9403157573	 1,1699342728	 1,4452886581	
 1,9603190125	 1,1689186096	 1,4452981949	
 1,9803222677	 1,1673140526	 1,4453077316	
 2,0003255229	 1,1681413651	 1,4453089237	
 2,0203287782	 1,1684489250	 1,4452946186	
 2,0403320334	 1,1664283276	 1,4452946186	
 2,0603352886	 1,1666023731	 1,4453017712	
 2,0803385439	 1,1675024033	 1,4453053474	
 2,1003417991	 1,1664998531	 1,4452981949	
 2,1203450543	 1,1650609970	 1,4452886581	
 2,1403483096	 1,1642098427	 1,4452981949	
 2,1603515648	 1,1636149883	 1,4453005791	
 2,1803548200	 1,1620748043	 1,4452874660	
 2,2003580752	 1,1615681648	 1,4452934265	
 2,2203613305	 1,1631739140	 1,4453041553	
 2,2403645857	 1,1648786068	 1,4453065395	
 2,2603678409	 1,1615109444	 1,4453041553	
 2,2803710962	 1,1607992649	 1,4452946186	
 2,3003743514	 1,1627721786	 1,4452898502	
 2,3203776066	 1,1613631248	 1,4452981949	
 2,3403808618	 1,1607205868	 1,4452993870	
 2,3603841171	 1,1616408825	 1,4452946186	
 2,3803873723	 1,1614680290	 1,4452886581	
 2,4003906275	 1,1609423161	 1,4452815056	
 2,4203938828	 1,1609709263	 1,4452970028	
 2,4403971380	 1,1607873440	 1,4453029633	
 2,4604003932	 1,1605501175	 1,4452910423	
 2,4804036485	 1,1602199078	 1,4452791214	
 2,5004069037	 1,1612033844	 1,4452743530	
 2,5204101589	 1,1611831188	 1,4452695847	
 2,5404134141	 1,1596906185	 1,4452803135	
 2,5604166694	 1,1598825455	 1,4452922344	
 2,5804199246	 1,1613667011	 1,4452862740	
 2,6004231798	 1,1616361141	 1,4452791214	
 2,6204264351	 1,1591267586	 1,4452803135	
 2,6404296903	 1,1611807346	 1,4452886581	
 2,6604329455	 1,1615943909	 1,4452767372	
 2,6804362007	 1,1593830585	 1,4452874660	
 2,7004394560	 1,1598014832	 1,4452934265	
 2,7204427112	 1,1612319946	 1,4452743530	
 2,7404459664	 1,1608552933	 1,4452731609	
 2,7604492217	 1,1623477936	 1,4452838898	
 2,7804524769	 1,1627066135	 1,4452826977	
 2,8004557321	 1,1587274075	 1,4452755451	
 2,8204589874	 1,1587071419	 1,4452672005	
 2,8404622426	 1,1609649658	 1,4452683926	
 2,8604654978	 1,1609423161	 1,4452886581	
 2,8804687530	 1,1591386795	 1,4452946186	
 2,9004720083	 1,1573064327	 1,4452958107	
 2,9204752635	 1,1562955379	 1,4452803135	
 2,9404785187	 1,1554157734	 1,4452683926	
 2,9604817740	 1,1582565308	 1,4452803135	
 2,9804850292	 1,1586678028	 1,4452850819	
 3,0004882844	 1,1580836773	 1,4452815056	
 3,0204915396	 1,1554837227	 1,4452826977	
 3,0404947949	 1,1546015739	 1,4452850819	
 3,0604980501	 1,1577641964	 1,4452791214	
 3,0805013053	 1,1547291279	 1,4452850819	
 3,1005045606	 1,1523866653	 1,4452922344	
 3,1205078158	 1,1566519737	 1,4452838898	
 3,1405110710	 1,1584603786	 1,4452755451	
 3,1605143263	 1,1571884155	 1,4452695847	
 3,1805175815	 1,1570084095	 1,4452743530	
 3,2005208367	 1,1556875706	 1,4452743530	
 3,2205240919	 1,1579239368	 1,4452612400	
 3,2405273472	 1,1563885212	 1,4452660084	
 3,2605306024	 1,1550509930	 1,4452779293	
 3,2805338576	 1,1528170109	 1,4452755451	
 3,3005371129	 1,1500048637	 1,4452719688	
 3,3205403681	 1,1487424374	 1,4452755451	
 3,3405436233	 1,1494660378	 1,4452719688	
 3,3605468785	 1,1514365673	 1,4452540874	
 3,3805501338	 1,1485970020	 1,4452552795	
 3,4005533890	 1,1456191540	 1,4452660084	
 3,4205566442	 1,1491942406	 1,4452648163	
 3,4405598995	 1,1479496956	 1,4452576637	
 3,4605631547	 1,1436986923	 1,4452540874	
 3,4805664099	 1,1426424980	 1,4452540874	
 3,5005696652	 1,1393594742	 1,4452576637	
